int_dis,health_acc_score,health2_acc_score,health2_Monday_score,health2_compete1.5_score,health2_compete2_score,c_healthinfluence,sd_healthinfluence,bus_delay_healthinfluence_2,bus_delay_healthinfluence_1.5,health_acc_score_std,health2_acc_score_std,health2_Monday_score_std,health2_compete1.5_score_std,health2_compete2_score_std,c_healthinfluence_std,sd_healthinfluence_std,bus_delay_healthinfluence_2_std,bus_delay_healthinfluence_1.5_std,food_acc_score,food2_acc_score,food2_Monday_score,food2_compete1.5_score,food2_compete2_score,c_foodinfluence,sd_foodinfluence,bus_delay_foodinfluence_2,bus_delay_foodinfluence_1.5,food_acc_score_std,food2_acc_score_std,food2_Monday_score_std,food2_compete1.5_score_std,food2_compete2_score_std,c_foodinfluence_std,sd_foodinfluence_std,bus_delay_foodinfluence_2_std,bus_delay_foodinfluence_1.5_std,grocery_acc_score,grocery2_acc_score,grocery2_Monday_score,grocery2_compete1.5_score,grocery2_compete2_score,c_groceryinfluence,sd_groceryinfluence,bus_delay_groceryinfluence_2,bus_delay_groceryinfluence_1.5,grocery_acc_score_std,grocery2_acc_score_std,grocery2_Monday_score_std,grocery2_compete1.5_score_std,grocery2_compete2_score_std,c_groceryinfluence_std,sd_groceryinfluence_std,bus_delay_groceryinfluence_2_std,bus_delay_groceryinfluence_1.5_std,city
0,7.60130719,7.444444444,7.111111111,6.522875817,6.647058824,-0.156862745,-0.333333333,-0.464052288,-0.588235294,1.951180039,1.925893125,1.978687615,1.990387979,2.021172758,0.36486564,0.472952651,0.500343879,0.493769227,8.222222222,8.078431373,7.758169935,6.934640523,7.052287582,-0.14379085,-0.320261438,-0.705882353,-0.823529412,1.792609911,1.840800068,2.000085997,2.076412654,2.120671597,0.35202984,0.481958651,0.524182985,0.514495755,7.705882353,7.77124183,7.555555556,6.614379085,6.738562092,0.065359477,-0.215686275,-0.816993464,-0.941176471,1.912157616,1.89700849,2.016017729,2.05555788,2.057627792,0.273216769,0.428294913,0.492548535,0.540897088,Atlanta
10,7.061452514,6.983240223,6.843575419,6.586592179,6.631284916,-0.078212291,-0.139664804,-0.212290503,-0.25698324,2.353963932,2.408960008,2.451346926,2.457970092,2.481011941,0.269258532,0.446637751,0.410076458,0.438195809,7.262569832,7.217877095,7.122905028,6.765363128,6.798882682,-0.044692737,-0.094972067,-0.324022346,-0.357541899,2.175785042,2.208897729,2.245214748,2.421979471,2.408738511,0.296443887,0.493698919,0.48114274,0.49217083,7.301675978,7.301675978,7.201117318,6.787709497,6.804469274,0,-0.100558659,-0.396648045,-0.413407821,2.280485727,2.285407417,2.330500955,2.49035551,2.519760583,0.299812676,0.531004688,0.523804089,0.50507437,Atlanta
20,6.424731183,6.446236559,6.392473118,6.451612903,6.440860215,0.021505376,-0.053763441,0.048387097,0.059139785,2.520667261,2.567954666,2.689669388,2.784187509,2.772304595,0.274245683,0.449999193,0.406464759,0.41816499,6.23655914,6.252688172,6.209677419,6.301075269,6.274193548,0.016129032,-0.043010753,0.064516129,0.091397849,2.31048304,2.365430829,2.504938453,2.775510457,2.734184131,0.302705038,0.507542644,0.526209323,0.557243392,6.451612903,6.397849462,6.317204301,6.446236559,6.430107527,-0.053763441,-0.080645161,0.112903226,0.129032258,2.440718233,2.447899419,2.534395761,2.832210831,2.787609067,0.307231452,0.549153268,0.572472269,0.610286711,Atlanta
30,5.30952381,5.398809524,5.648809524,5.994047619,5.898809524,0.089285714,0.25,0.25,0.345238095,2.362259096,2.474153532,2.590031283,2.82736208,2.769897815,0.343116348,0.576485324,0.48634036,0.524696607,5.005952381,5.077380952,5.267857143,5.720238095,5.672619048,0.071428571,0.19047619,0.404761905,0.452380952,2.095038404,2.202331437,2.435941491,2.735715421,2.710584761,0.372263325,0.598924995,0.560561045,0.555964112,5.130952381,5.130952381,5.339285714,5.892857143,5.833333333,0,0.208333333,0.494047619,0.553571429,2.184758099,2.143251556,2.361949761,2.69627313,2.646128494,0.328305393,0.597942246,0.579045506,0.596987734,Atlanta
40,3.681034483,3.767241379,4.068965517,4.439655172,4.387931034,0.086206897,0.301724138,0.318965517,0.370689655,1.913790402,2.010224987,2.201675796,2.471714044,2.420102591,0.311209856,0.578150388,0.503882973,0.519701794,3.413793103,3.534482759,3.732758621,4.275862069,4.189655172,0.120689655,0.198275862,0.456896552,0.543103448,1.6369057,1.726675793,1.94425691,2.397775081,2.325337911,0.327179579,0.60748702,0.533931137,0.580737782,3.517241379,3.5,3.689655172,4.275862069,4.215517241,-0.017241379,0.189655172,0.525862069,0.586206897,1.706676193,1.73706399,1.848213206,2.282585136,2.283422429,0.322564685,0.526081381,0.566625509,0.560573705,Atlanta
50,2.276315789,2.355263158,2.513157895,2.736842105,2.710526316,0.078947368,0.157894737,0.197368421,0.223684211,1.34262116,1.430188308,1.685177902,1.913937798,1.860579046,0.316782066,0.61215753,0.400657355,0.419481719,2.157894737,2.157894737,2.368421053,2.697368421,2.684210526,0,0.210526316,0.315789474,0.328947368,1.166791973,1.1781639,1.263245611,1.574968671,1.568103112,0.230940108,0.498418552,0.495594628,0.500350754,2.144736842,2.157894737,2.223684211,2.539473684,2.513157895,0.013157895,0.065789474,0.289473684,0.315789474,1.162800612,1.143708956,1.138404547,1.518251534,1.492143166,0.199560922,0.411032077,0.511619376,0.521805234,Atlanta
60,1.729166667,1.770833333,1.729166667,1.854166667,1.833333333,0.041666667,-0.041666667,0.104166667,0.125,0.76463267,0.831291826,0.736281148,0.945078705,0.9301872,0.201940937,0.410414079,0.308709278,0.334218682,1.625,1.645833333,1.6875,1.8125,1.8125,0.020833333,0.041666667,0.125,0.125,0.672404387,0.69922703,0.74822485,0.959970079,0.959970079,0.144337567,0.354804911,0.334218682,0.334218682,1.625,1.625,1.625,1.770833333,1.770833333,0,0,0.145833333,0.145833333,0.703335518,0.703335518,0.703335518,0.85650411,0.85650411,0.206284249,0.412568499,0.356673958,0.356673958,Atlanta
70,1.05,1.1,1.05,1.1,1.1,0.05,-0.05,0.05,0.05,0.223606798,0.307793506,0.223606798,0.447213595,0.447213595,0.223606798,0.223606798,0.223606798,0.223606798,1.05,1.05,1.1,1.2,1.2,0,0.05,0.1,0.1,0.223606798,0.223606798,0.307793506,0.615587011,0.615587011,0,0.223606798,0.307793506,0.307793506,1.05,1.1,1.25,1.35,1.35,0.05,0.15,0.1,0.1,0.223606798,0.307793506,0.550119604,0.812727701,0.812727701,0.223606798,0.587142949,0.307793506,0.307793506,Atlanta
80,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.25,1.25,0,0,0.25,0.25,0,0,0,0.5,0.5,0,0,0.5,0.5,1,1,1.25,1.25,1.25,0,0.25,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,Atlanta
0,6.83908046,6.521072797,5.62835249,5.214559387,5.206896552,-0.318007663,-0.892720307,-0.421455939,-0.413793103,2.331425265,2.362474338,2.4767769,2.480682811,2.459539971,0.490703435,0.629395829,0.593684217,0.599070899,7.643678161,7.421455939,6.46743295,5.574712644,5.609195402,-0.222222222,-0.954022989,-0.858237548,-0.892720307,2.14822115,2.269903291,2.636265701,2.661544595,2.657455355,0.492681482,0.797708921,0.64971825,0.698889692,7.536398467,7.24137931,6.436781609,5.513409962,5.54789272,-0.295019157,-0.804597701,-0.888888889,-0.923371648,2.15094274,2.264944475,2.632786544,2.815617889,2.815241034,0.548717122,0.704476027,0.701037083,0.735023372,Baltimore
10,6.743961353,6.956521739,6.90821256,6.652173913,6.685990338,0.212560386,-0.048309179,-0.222222222,-0.256038647,2.366257493,2.420190853,2.549753499,2.575987436,2.566200557,0.5514647,1.032286811,0.781390899,0.810818691,6.048309179,6.275362319,6.536231884,6.473429952,6.502415459,0.22705314,0.260869565,-0.033816425,-0.062801932,1.915086893,2.00158232,2.372453424,2.569050167,2.555926667,0.442458393,1.127573741,1.039891903,1.084273223,6.202898551,6.516908213,6.990338164,7.009661836,7,0.314009662,0.473429952,0.009661836,0.019323671,1.999366721,2.09216154,2.344152688,2.525578542,2.53901594,0.57702523,0.811339133,1.299702498,1.321816023,Baltimore
20,3.777777778,4.111111111,5.411111111,6.233333333,6.222222222,0.333333333,1.3,0.811111111,0.822222222,1.556268786,1.904721776,2.66856206,3.046641179,3.060358273,0.519290787,1.487400266,0.993172699,0.989583703,3.2,3.244444444,4.1,5.566666667,5.477777778,0.044444444,0.855555556,1.377777778,1.466666667,1.040743036,1.073805698,2.044724646,2.89924438,2.907672059,0.332207838,1.473062324,1.241399878,1.273762894,3.155555556,3.266666667,3.777777778,4.977777778,4.944444444,0.111111111,0.511111111,1.166666667,1.2,0.898326923,1.05787576,1.519741091,2.317388,2.304666059,0.349781455,0.767960153,1.256444064,1.282553632,Baltimore
30,2.216216216,2.364864865,3.891891892,4.945945946,4.891891892,0.148648649,1.527027027,1,1.054054054,0.968974465,1.211523713,2.902844932,3.096139407,3.11675792,0.394566953,1.866965694,0.906596828,0.919974566,2.013513514,2.094594595,3.5,4.756756757,4.675675676,0.081081081,1.405405405,1.175675676,1.256756757,0.692291079,0.813733471,2.736110628,3.170112183,3.162745938,0.320819019,2.138485695,1.114759119,1.171122992,1.986486486,2.013513514,2.783783784,4.256756757,4.22972973,0.027027027,0.77027027,1.445945946,1.472972973,0.711803483,0.730795087,1.445543651,2.49416201,2.463694171,0.232495277,0.884374205,1.172071014,1.196146472,Baltimore
40,1.027777778,1,1.333333333,1.555555556,1.555555556,-0.027777778,0.333333333,0.222222222,0.222222222,0.291411453,0.239045722,0.585540044,0.87650098,0.87650098,0.166666667,0.478091444,0.48468612,0.48468612,1.083333333,1.083333333,1.472222222,2,1.972222222,0,0.388888889,0.5,0.527777778,0.368394199,0.368394199,0.736249613,1.511857892,1.403793048,0,0.687761494,0.774596669,0.844684594,1.111111111,1.111111111,1.361111111,1.861111111,1.833333333,0,0.25,0.472222222,0.5,0.398409536,0.398409536,0.682548911,1.174801571,1.133893419,0,0.603560862,0.608797931,0.6094494,Baltimore
50,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,1,1,1,1.166666667,1.166666667,0,0,0.166666667,0.166666667,0,0,0,0.389249472,0.389249472,0,0,0.389249472,0.389249472,Baltimore
0,8.246875,8.23125,7.496875,7.19375,7.29375,-0.015625,-0.734375,-0.203125,-0.303125,1.819001823,1.828790563,2.285292265,2.404272255,2.363772753,0.216279998,0.800512914,0.506375884,0.52402133,8.46875,8.41875,7.703125,7.30625,7.43125,-0.05,-0.715625,-0.271875,-0.396875,1.761382597,1.789806998,2.303600069,2.533776531,2.457467348,0.257793872,0.887251886,0.535120398,0.614854967,8.434375,8.353125,7.653125,7.35625,7.478125,-0.08125,-0.7,-0.175,-0.296875,1.792199989,1.840928683,2.331800652,2.473297838,2.424953139,0.353608802,0.836472666,0.482288172,0.533506984,Boston
10,6.943589744,6.948717949,7.169230769,7.441025641,7.38974359,0.005128205,0.220512821,0.220512821,0.271794872,1.729637777,1.754944678,2.343465784,2.277265265,2.268542708,0.23806427,0.972609278,0.534953263,0.500488791,6.641025641,6.712820513,6.774358974,7.097435897,7.092307692,0.071794872,0.061538462,0.317948718,0.323076923,1.42306442,1.474732107,2.215307331,2.157638932,2.125372571,0.29597708,1.091819484,0.52899038,0.530736475,6.682051282,6.805128205,7.066666667,7.358974359,7.302564103,0.123076923,0.261538462,0.235897436,0.292307692,1.447157148,1.507019438,2.161201142,2.067011133,2.027070302,0.400039649,1.019555033,0.542753185,0.48873106,Boston
20,4.674242424,4.636363636,4.651515152,4.848484848,4.803030303,-0.037878788,0.015151515,0.151515152,0.196969697,0.992307913,1.050428682,1.675985974,1.843017972,1.81360168,0.312715343,0.800618544,0.714995847,0.658930361,4.590909091,4.560606061,4.083333333,4.303030303,4.25,-0.03030303,-0.477272727,0.166666667,0.21969697,0.93248863,0.967072988,1.451725305,1.662057007,1.636300986,0.274609895,0.735842552,0.722238533,0.668990283,4.606060606,4.651515152,4.386363636,4.5,4.446969697,0.045454545,-0.265151515,0.060606061,0.113636364,0.93087479,0.940885148,1.449652379,1.545740268,1.509837431,0.367862328,0.818300683,0.779092992,0.695105322,Boston
30,3.407643312,3.382165605,3.535031847,3.649681529,3.617834395,-0.025477707,0.152866242,0.082802548,0.114649682,1.061900896,1.129641603,1.879472998,2.012353648,1.975928966,0.319234754,0.961873206,0.518402173,0.530700467,3.305732484,3.292993631,3.299363057,3.49044586,3.426751592,-0.012738854,0.006369427,0.127388535,0.191082803,1.05406673,1.105122957,1.875841583,2.132224775,2.066843939,0.252862108,1.022169734,0.606863676,0.589803944,3.343949045,3.312101911,3.23566879,3.350318471,3.261146497,-0.031847134,-0.076433121,0.025477707,0.114649682,1.078421067,1.055228151,1.679973013,1.775424261,1.706497751,0.286901711,0.873699776,0.65973037,0.59880386,Boston
40,2.697368421,2.697368421,2.960526316,3.065789474,2.960526316,0,0.263157895,0,0.105263158,0.938363637,1.095685318,1.928320786,1.941377699,1.879296248,0.4,1.075402821,0.565685425,0.505409336,2.763157895,2.789473684,3.381578947,3.486842105,3.302631579,0.026315789,0.592105263,-0.078947368,0.105263158,1.093842415,1.181138315,2.274303441,2.352266544,2.215218495,0.325522522,1.338433229,0.560075183,0.478301087,2.710526316,2.697368421,3.118421053,2.934210526,2.789473684,-0.013157895,0.421052632,-0.328947368,-0.184210526,1.05597714,1.071070951,1.959367961,1.934497532,1.783747288,0.305217782,1.157735236,0.661073025,0.558820814,Boston
50,1.770833333,1.770833333,2.3125,2.229166667,2.1875,0,0.541666667,-0.125,-0.083333333,0.555038175,0.750590784,1.370762329,1.324717286,1.248935717,0.505291153,0.849488791,0.672404387,0.498223795,1.875,1.833333333,2.729166667,2.645833333,2.583333333,-0.041666667,0.895833333,-0.145833333,-0.083333333,0.732962511,0.780979563,1.783369788,1.76839371,1.673743839,0.288675135,1.241817188,0.824868354,0.794484533,1.833333333,1.770833333,2.395833333,2.270833333,2.25,-0.0625,0.625,-0.145833333,-0.125,0.694456265,0.750590784,1.697803128,1.659781879,1.604514906,0.380718805,1.196181869,0.771557787,0.788885559,Boston
60,1.133333333,1.333333333,2.166666667,2.366666667,2.366666667,0.2,0.833333333,0.2,0.2,0.434172485,0.546672274,1.533158411,1.58621939,1.58621939,0.406838102,1.14721051,0.406838102,0.406838102,1.3,1.3,2.733333333,3.033333333,2.933333333,0,1.433333333,0.2,0.3,0.534983081,0.534983081,2.132399221,2.326508904,2.116166562,0.371390676,1.75545128,0.406838102,0.4660916,1.333333333,1.266666667,2.6,2.866666667,2.9,-0.066666667,1.333333333,0.3,0.266666667,0.546672274,0.52083046,2.044336162,2.270247341,2.27959464,0.365148372,1.647010528,0.534983081,0.449776445,Boston
70,1,1.2,2.8,2.933333333,2.866666667,0.2,1.6,0.066666667,0.133333333,0,0.414039336,2.366431913,2.491891613,2.325838303,0.414039336,1.992844342,0.25819889,0.351865775,1,1.2,3.4,3.666666667,3.6,0.2,2.2,0.2,0.266666667,0,0.414039336,2.848558533,2.870208222,2.772312083,0.414039336,2.484236014,0.414039336,0.457737708,1,1.2,3,3.466666667,3.6,0.2,1.8,0.6,0.466666667,0,0.414039336,2.672612419,3.090692633,2.99523431,0.414039336,2.305273458,0.507092553,0.516397779,Boston
