index,num,accessibility,race,label
0,10955,4,black_poverty,health_acc_score
1,14449,4,black_non_poverty,health_acc_score
2,188,4,white_poverty,health_acc_score
3,357,4,white_non_poverty,health_acc_score
4,10833,5,black_poverty,health_acc_score
5,21778,5,black_non_poverty,health_acc_score
6,190,5,white_poverty,health_acc_score
7,1675,5,white_non_poverty,health_acc_score
8,23194,6,black_poverty,health_acc_score
9,62734,6,black_non_poverty,health_acc_score
10,1657,6,white_poverty,health_acc_score
11,8139,6,white_non_poverty,health_acc_score
12,21521,7,black_poverty,health_acc_score
13,51574,7,black_non_poverty,health_acc_score
14,1187,7,white_poverty,health_acc_score
15,13098,7,white_non_poverty,health_acc_score
16,9910,8,black_poverty,health_acc_score
17,23168,8,black_non_poverty,health_acc_score
18,2049,8,white_poverty,health_acc_score
19,29190,8,white_non_poverty,health_acc_score
20,3935,9,black_poverty,health_acc_score
21,16245,9,black_non_poverty,health_acc_score
22,3903,9,white_poverty,health_acc_score
23,50353,9,white_non_poverty,health_acc_score
24,5090,10,black_poverty,health_acc_score
25,17569,10,black_non_poverty,health_acc_score
26,6846,10,white_poverty,health_acc_score
27,94334,10,white_non_poverty,health_acc_score
0,10955,4,black_poverty,health2_acc_score
1,14449,4,black_non_poverty,health2_acc_score
2,188,4,white_poverty,health2_acc_score
3,357,4,white_non_poverty,health2_acc_score
4,13638,5,black_poverty,health2_acc_score
5,26781,5,black_non_poverty,health2_acc_score
6,451,5,white_poverty,health2_acc_score
7,3767,5,white_non_poverty,health2_acc_score
8,22714,6,black_poverty,health2_acc_score
9,63152,6,black_non_poverty,health2_acc_score
10,1396,6,white_poverty,health2_acc_score
11,6178,6,white_non_poverty,health2_acc_score
12,22419,7,black_poverty,health2_acc_score
13,53789,7,black_non_poverty,health2_acc_score
14,1691,7,white_poverty,health2_acc_score
15,20817,7,white_non_poverty,health2_acc_score
16,8036,8,black_poverty,health2_acc_score
17,21006,8,black_non_poverty,health2_acc_score
18,2329,8,white_poverty,health2_acc_score
19,32354,8,white_non_poverty,health2_acc_score
20,4087,9,black_poverty,health2_acc_score
21,13481,9,black_non_poverty,health2_acc_score
22,3946,9,white_poverty,health2_acc_score
23,50654,9,white_non_poverty,health2_acc_score
24,3589,10,black_poverty,health2_acc_score
25,14859,10,black_non_poverty,health2_acc_score
26,6019,10,white_poverty,health2_acc_score
27,83019,10,white_non_poverty,health2_acc_score
0,1734,3,black_poverty,health2_Monday_score
1,458,3,black_non_poverty,health2_Monday_score
2,12598,4,black_poverty,health2_Monday_score
3,26095,4,black_non_poverty,health2_Monday_score
4,334,4,white_poverty,health2_Monday_score
5,1474,4,white_non_poverty,health2_Monday_score
6,17330,5,black_poverty,health2_Monday_score
7,31499,5,black_non_poverty,health2_Monday_score
8,733,5,white_poverty,health2_Monday_score
9,3614,5,white_non_poverty,health2_Monday_score
10,25503,6,black_poverty,health2_Monday_score
11,64711,6,black_non_poverty,health2_Monday_score
12,1534,6,white_poverty,health2_Monday_score
13,8691,6,white_non_poverty,health2_Monday_score
14,18071,7,black_poverty,health2_Monday_score
15,47564,7,black_non_poverty,health2_Monday_score
16,2428,7,white_poverty,health2_Monday_score
17,34354,7,white_non_poverty,health2_Monday_score
18,3299,8,black_poverty,health2_Monday_score
19,13172,8,black_non_poverty,health2_Monday_score
20,2647,8,white_poverty,health2_Monday_score
21,37771,8,white_non_poverty,health2_Monday_score
22,4169,9,black_poverty,health2_Monday_score
23,12642,9,black_non_poverty,health2_Monday_score
24,4400,9,white_poverty,health2_Monday_score
25,39005,9,white_non_poverty,health2_Monday_score
26,2734,10,black_poverty,health2_Monday_score
27,11376,10,black_non_poverty,health2_Monday_score
28,3944,10,white_poverty,health2_Monday_score
29,72237,10,white_non_poverty,health2_Monday_score
0,9607,3,black_poverty,health2_compete2_score
1,8181,3,black_non_poverty,health2_compete2_score
2,95,3,white_poverty,health2_compete2_score
3,52,3,white_non_poverty,health2_compete2_score
4,13934,4,black_poverty,health2_compete2_score
5,30600,4,black_non_poverty,health2_compete2_score
6,284,4,white_poverty,health2_compete2_score
7,2031,4,white_non_poverty,health2_compete2_score
8,22827,5,black_poverty,health2_compete2_score
9,61449,5,black_non_poverty,health2_compete2_score
10,1361,5,white_poverty,health2_compete2_score
11,6652,5,white_non_poverty,health2_compete2_score
12,20833,6,black_poverty,health2_compete2_score
13,51427,6,black_non_poverty,health2_compete2_score
14,1647,6,white_poverty,health2_compete2_score
15,16417,6,white_non_poverty,health2_compete2_score
16,10346,7,black_poverty,health2_compete2_score
17,26678,7,black_non_poverty,health2_compete2_score
18,2591,7,white_poverty,health2_compete2_score
19,35281,7,white_non_poverty,health2_compete2_score
20,3062,8,black_poverty,health2_compete2_score
21,13016,8,black_non_poverty,health2_compete2_score
22,3466,8,white_poverty,health2_compete2_score
23,49764,8,white_non_poverty,health2_compete2_score
24,3294,9,black_poverty,health2_compete2_score
25,8285,9,black_non_poverty,health2_compete2_score
26,3606,9,white_poverty,health2_compete2_score
27,38980,9,white_non_poverty,health2_compete2_score
28,1535,10,black_poverty,health2_compete2_score
29,7881,10,black_non_poverty,health2_compete2_score
30,2970,10,white_poverty,health2_compete2_score
31,47969,10,white_non_poverty,health2_compete2_score
0,1734,2,black_poverty,health2_compete1.5_score
1,458,2,black_non_poverty,health2_compete1.5_score
2,9221,3,black_poverty,health2_compete1.5_score
3,13991,3,black_non_poverty,health2_compete1.5_score
4,188,3,white_poverty,health2_compete1.5_score
5,357,3,white_non_poverty,health2_compete1.5_score
6,13505,4,black_poverty,health2_compete1.5_score
7,25774,4,black_non_poverty,health2_compete1.5_score
8,334,4,white_poverty,health2_compete1.5_score
9,1861,4,white_non_poverty,health2_compete1.5_score
10,22907,5,black_poverty,health2_compete1.5_score
11,61863,5,black_non_poverty,health2_compete1.5_score
12,1358,5,white_poverty,health2_compete1.5_score
13,6694,5,white_non_poverty,health2_compete1.5_score
14,21630,6,black_poverty,health2_compete1.5_score
15,53538,6,black_non_poverty,health2_compete1.5_score
16,1846,6,white_poverty,health2_compete1.5_score
17,21502,6,white_non_poverty,health2_compete1.5_score
18,9074,7,black_poverty,health2_compete1.5_score
19,26010,7,black_non_poverty,health2_compete1.5_score
20,2994,7,white_poverty,health2_compete1.5_score
21,40626,7,white_non_poverty,health2_compete1.5_score
22,3778,8,black_poverty,health2_compete1.5_score
23,11178,8,black_non_poverty,health2_compete1.5_score
24,3382,8,white_poverty,health2_compete1.5_score
25,44775,8,white_non_poverty,health2_compete1.5_score
26,2355,9,black_poverty,health2_compete1.5_score
27,8241,9,black_non_poverty,health2_compete1.5_score
28,3999,9,white_poverty,health2_compete1.5_score
29,48291,9,white_non_poverty,health2_compete1.5_score
30,1234,10,black_poverty,health2_compete1.5_score
31,6464,10,black_non_poverty,health2_compete1.5_score
32,1919,10,white_poverty,health2_compete1.5_score
33,33040,10,white_non_poverty,health2_compete1.5_score
0,1734,4,black_poverty,food_acc_score
1,458,4,black_non_poverty,food_acc_score
2,11060,5,black_poverty,food_acc_score
3,17953,5,black_non_poverty,food_acc_score
4,221,5,white_poverty,food_acc_score
5,427,5,white_non_poverty,food_acc_score
6,15766,6,black_poverty,food_acc_score
7,30144,6,black_non_poverty,food_acc_score
8,587,6,white_poverty,food_acc_score
9,3946,6,white_non_poverty,food_acc_score
10,20144,7,black_poverty,food_acc_score
11,56366,7,black_non_poverty,food_acc_score
12,973,7,white_poverty,food_acc_score
13,4858,7,white_non_poverty,food_acc_score
14,18075,8,black_poverty,food_acc_score
15,46558,8,black_non_poverty,food_acc_score
16,1448,8,white_poverty,food_acc_score
17,14148,8,white_non_poverty,food_acc_score
18,11778,9,black_poverty,food_acc_score
19,32015,9,black_non_poverty,food_acc_score
20,3313,9,white_poverty,food_acc_score
