index,num,accessibility,race,label
0,3872,7,black_poverty,health_acc_score
1,23260,7,black_non_poverty,health_acc_score
2,1044,7,white_poverty,health_acc_score
3,9412,7,white_non_poverty,health_acc_score
4,12366,8,black_poverty,health_acc_score
5,43333,8,black_non_poverty,health_acc_score
6,2130,8,white_poverty,health_acc_score
7,13764,8,white_non_poverty,health_acc_score
8,15084,9,black_poverty,health_acc_score
9,38780,9,black_non_poverty,health_acc_score
10,3484,9,white_poverty,health_acc_score
11,36495,9,white_non_poverty,health_acc_score
12,8896,10,black_poverty,health_acc_score
13,26810,10,black_non_poverty,health_acc_score
14,6452,10,white_poverty,health_acc_score
15,97267,10,white_non_poverty,health_acc_score
0,848,6,black_poverty,health2_acc_score
1,2479,6,black_non_poverty,health2_acc_score
2,470,6,white_poverty,health2_acc_score
3,2184,6,white_non_poverty,health2_acc_score
4,4901,7,black_poverty,health2_acc_score
5,29660,7,black_non_poverty,health2_acc_score
6,1442,7,white_poverty,health2_acc_score
7,10104,7,white_non_poverty,health2_acc_score
8,15230,8,black_poverty,health2_acc_score
9,49045,8,black_non_poverty,health2_acc_score
10,1667,8,white_poverty,health2_acc_score
11,12772,8,white_non_poverty,health2_acc_score
12,12678,9,black_poverty,health2_acc_score
13,27586,9,black_non_poverty,health2_acc_score
14,3307,9,white_poverty,health2_acc_score
15,32172,9,white_non_poverty,health2_acc_score
16,6561,10,black_poverty,health2_acc_score
17,23413,10,black_non_poverty,health2_acc_score
18,6224,10,white_poverty,health2_acc_score
19,99706,10,white_non_poverty,health2_acc_score
0,2453,6,black_poverty,health2_Monday_score
1,15047,6,black_non_poverty,health2_Monday_score
2,849,6,white_poverty,health2_Monday_score
3,6137,6,white_non_poverty,health2_Monday_score
4,12360,7,black_poverty,health2_Monday_score
5,40287,7,black_non_poverty,health2_Monday_score
6,1840,7,white_poverty,health2_Monday_score
7,13037,7,white_non_poverty,health2_Monday_score
8,11361,8,black_poverty,health2_Monday_score
9,36526,8,black_non_poverty,health2_Monday_score
10,2472,8,white_poverty,health2_Monday_score
11,23576,8,white_non_poverty,health2_Monday_score
