index,num,accessibility,race,label
0,7677,3,black_poverty,health_acc_score
1,10558,3,black_non_poverty,health_acc_score
2,299,3,white_poverty,health_acc_score
3,245,3,white_non_poverty,health_acc_score
4,6828,4,black_poverty,health_acc_score
5,14224,4,black_non_poverty,health_acc_score
6,302,4,white_poverty,health_acc_score
7,595,4,white_non_poverty,health_acc_score
8,14091,5,black_poverty,health_acc_score
9,35243,5,black_non_poverty,health_acc_score
10,1237,5,white_poverty,health_acc_score
11,6240,5,white_non_poverty,health_acc_score
12,7468,6,black_poverty,health_acc_score
13,14462,6,black_non_poverty,health_acc_score
14,840,6,white_poverty,health_acc_score
15,6737,6,white_non_poverty,health_acc_score
16,6089,7,black_poverty,health_acc_score
17,12485,7,black_non_poverty,health_acc_score
18,2938,7,white_poverty,health_acc_score
19,24907,7,white_non_poverty,health_acc_score
20,1605,8,black_poverty,health_acc_score
21,3261,8,black_non_poverty,health_acc_score
22,1491,8,white_poverty,health_acc_score
23,22761,8,white_non_poverty,health_acc_score
24,4702,9,black_poverty,health_acc_score
25,11608,9,black_non_poverty,health_acc_score
26,5488,9,white_poverty,health_acc_score
27,47101,9,white_non_poverty,health_acc_score
28,758,10,black_poverty,health_acc_score
29,3218,10,black_non_poverty,health_acc_score
30,3361,10,white_poverty,health_acc_score
31,63321,10,white_non_poverty,health_acc_score
0,7677,3,black_poverty,health2_acc_score
1,10558,3,black_non_poverty,health2_acc_score
2,299,3,white_poverty,health2_acc_score
3,245,3,white_non_poverty,health2_acc_score
4,9212,4,black_poverty,health2_acc_score
5,18428,4,black_non_poverty,health2_acc_score
6,539,4,white_poverty,health2_acc_score
7,1584,4,white_non_poverty,health2_acc_score
8,11806,5,black_poverty,health2_acc_score
9,31318,5,black_non_poverty,health2_acc_score
10,1150,5,white_poverty,health2_acc_score
11,6120,5,white_non_poverty,health2_acc_score
12,8288,6,black_poverty,health2_acc_score
13,16499,6,black_non_poverty,health2_acc_score
14,1023,6,white_poverty,health2_acc_score
15,8880,6,white_non_poverty,health2_acc_score
16,6118,7,black_poverty,health2_acc_score
17,11268,7,black_non_poverty,health2_acc_score
18,2786,7,white_poverty,health2_acc_score
19,23223,7,white_non_poverty,health2_acc_score
20,1355,8,black_poverty,health2_acc_score
21,6462,8,black_non_poverty,health2_acc_score
22,1771,8,white_poverty,health2_acc_score
23,27591,8,white_non_poverty,health2_acc_score
24,4132,9,black_poverty,health2_acc_score
25,8077,9,black_non_poverty,health2_acc_score
26,5973,9,white_poverty,health2_acc_score
27,53456,9,white_non_poverty,health2_acc_score
28,630,10,black_poverty,health2_acc_score
29,2449,10,black_non_poverty,health2_acc_score
30,2415,10,white_poverty,health2_acc_score
31,50808,10,white_non_poverty,health2_acc_score
0,7677,2,black_poverty,health2_Monday_score
1,10558,2,black_non_poverty,health2_Monday_score
2,299,2,white_poverty,health2_Monday_score
3,245,2,white_non_poverty,health2_Monday_score
4,13134,3,black_poverty,health2_Monday_score
5,25630,3,black_non_poverty,health2_Monday_score
6,880,3,white_poverty,health2_Monday_score
7,2353,3,white_non_poverty,health2_Monday_score
8,10188,4,black_poverty,health2_Monday_score
9,29204,4,black_non_poverty,health2_Monday_score
10,917,4,white_poverty,health2_Monday_score
11,7048,4,white_non_poverty,health2_Monday_score
12,6176,5,black_poverty,health2_Monday_score
13,11181,5,black_non_poverty,health2_Monday_score
14,1014,5,white_poverty,health2_Monday_score
15,6747,5,white_non_poverty,health2_Monday_score
16,3761,6,black_poverty,health2_Monday_score
17,7955,6,black_non_poverty,health2_Monday_score
18,1619,6,white_poverty,health2_Monday_score
19,17770,6,white_non_poverty,health2_Monday_score
20,2648,7,black_poverty,health2_Monday_score
21,4982,7,black_non_poverty,health2_Monday_score
22,2096,7,white_poverty,health2_Monday_score
23,21981,7,white_non_poverty,health2_Monday_score
24,2972,8,black_poverty,health2_Monday_score
25,9867,8,black_non_poverty,health2_Monday_score
26,2657,8,white_poverty,health2_Monday_score
27,28806,8,white_non_poverty,health2_Monday_score
28,2265,9,black_poverty,health2_Monday_score
29,4920,9,black_non_poverty,health2_Monday_score
30,5909,9,white_poverty,health2_Monday_score
31,72796,9,white_non_poverty,health2_Monday_score
32,397,10,black_poverty,health2_Monday_score
33,762,10,black_non_poverty,health2_Monday_score
34,565,10,white_poverty,health2_Monday_score
35,14161,10,white_non_poverty,health2_Monday_score
0,16889,2,black_poverty,health2_compete2_score
1,28986,2,black_non_poverty,health2_compete2_score
2,838,2,white_poverty,health2_compete2_score
3,1829,2,white_non_poverty,health2_compete2_score
4,14859,3,black_poverty,health2_compete2_score
5,36612,3,black_non_poverty,health2_compete2_score
6,1663,3,white_poverty,health2_compete2_score
7,9099,3,white_non_poverty,health2_compete2_score
8,8155,4,black_poverty,health2_compete2_score
9,17486,4,black_non_poverty,health2_compete2_score
10,2327,4,white_poverty,health2_compete2_score
11,27031,4,white_non_poverty,health2_compete2_score
12,2505,5,black_poverty,health2_compete2_score
13,4580,5,black_non_poverty,health2_compete2_score
14,1344,5,white_poverty,health2_compete2_score
15,14566,5,white_non_poverty,health2_compete2_score
16,2353,6,black_poverty,health2_compete2_score
17,3527,6,black_non_poverty,health2_compete2_score
18,2003,6,white_poverty,health2_compete2_score
19,17766,6,white_non_poverty,health2_compete2_score
20,3306,7,black_poverty,health2_compete2_score
21,10270,7,black_non_poverty,health2_compete2_score
22,3439,7,white_poverty,health2_compete2_score
23,31552,7,white_non_poverty,health2_compete2_score
24,865,8,black_poverty,health2_compete2_score
25,3146,8,black_non_poverty,health2_compete2_score
26,3954,8,white_poverty,health2_compete2_score
27,63935,8,white_non_poverty,health2_compete2_score
28,286,9,black_poverty,health2_compete2_score
29,452,9,black_non_poverty,health2_compete2_score
30,388,9,white_poverty,health2_compete2_score
31,6129,9,white_non_poverty,health2_compete2_score
0,18654,2,black_poverty,health2_compete1.5_score
1,30250,2,black_non_poverty,health2_compete1.5_score
2,995,2,white_poverty,health2_compete1.5_score
3,2091,2,white_non_poverty,health2_compete1.5_score
4,13094,3,black_poverty,health2_compete1.5_score
5,35348,3,black_non_poverty,health2_compete1.5_score
6,1506,3,white_poverty,health2_compete1.5_score
7,8837,3,white_non_poverty,health2_compete1.5_score
8,8155,4,black_poverty,health2_compete1.5_score
9,17486,4,black_non_poverty,health2_compete1.5_score
10,2327,4,white_poverty,health2_compete1.5_score
11,27031,4,white_non_poverty,health2_compete1.5_score
12,2505,5,black_poverty,health2_compete1.5_score
13,4580,5,black_non_poverty,health2_compete1.5_score
14,1344,5,white_poverty,health2_compete1.5_score
15,14566,5,white_non_poverty,health2_compete1.5_score
16,2403,6,black_poverty,health2_compete1.5_score
17,3693,6,black_non_poverty,health2_compete1.5_score
18,2003,6,white_poverty,health2_compete1.5_score
19,18171,6,white_non_poverty,health2_compete1.5_score
20,3256,7,black_poverty,health2_compete1.5_score
21,10104,7,black_non_poverty,health2_compete1.5_score
22,3439,7,white_poverty,health2_compete1.5_score
23,31147,7,white_non_poverty,health2_compete1.5_score
24,865,8,black_poverty,health2_compete1.5_score
25,3216,8,black_non_poverty,health2_compete1.5_score
26,4029,8,white_poverty,health2_compete1.5_score
27,64961,8,white_non_poverty,health2_compete1.5_score
28,286,9,black_poverty,health2_compete1.5_score
29,382,9,black_non_poverty,health2_compete1.5_score
30,313,9,white_poverty,health2_compete1.5_score
31,5103,9,white_non_poverty,health2_compete1.5_score
0,6720,3,black_poverty,food_acc_score
1,8670,3,black_non_poverty,food_acc_score
2,263,3,white_poverty,food_acc_score
3,132,3,white_non_poverty,food_acc_score
4,3158,4,black_poverty,food_acc_score
5,7425,4,black_non_poverty,food_acc_score
6,51,4,white_poverty,food_acc_score
7,363,4,white_non_poverty,food_acc_score
8,11336,5,black_poverty,food_acc_score
9,22547,5,black_non_poverty,food_acc_score
10,854,5,white_poverty,food_acc_score
11,2156,5,white_non_poverty,food_acc_score
12,9540,6,black_poverty,food_acc_score
13,26363,6,black_non_poverty,food_acc_score
