index,num,accessibility,race,label
0,1002,4,black_poverty,health_acc_score
1,1107,4,black_non_poverty,health_acc_score
2,22,4,white_poverty,health_acc_score
3,123,4,white_non_poverty,health_acc_score
4,1227,5,black_poverty,health_acc_score
5,1769,5,black_non_poverty,health_acc_score
6,40,5,white_poverty,health_acc_score
7,48,5,white_non_poverty,health_acc_score
8,4675,6,black_poverty,health_acc_score
9,8352,6,black_non_poverty,health_acc_score
10,477,6,white_poverty,health_acc_score
11,642,6,white_non_poverty,health_acc_score
12,11402,7,black_poverty,health_acc_score
13,24207,7,black_non_poverty,health_acc_score
14,1337,7,white_poverty,health_acc_score
15,2538,7,white_non_poverty,health_acc_score
16,12778,8,black_poverty,health_acc_score
17,32777,8,black_non_poverty,health_acc_score
18,1486,8,white_poverty,health_acc_score
19,11796,8,white_non_poverty,health_acc_score
20,5483,9,black_poverty,health_acc_score
21,18104,9,black_non_poverty,health_acc_score
22,4665,9,white_poverty,health_acc_score
23,34810,9,white_non_poverty,health_acc_score
24,3441,10,black_poverty,health_acc_score
25,21002,10,black_non_poverty,health_acc_score
26,9897,10,white_poverty,health_acc_score
27,177730,10,white_non_poverty,health_acc_score
0,2229,5,black_poverty,health2_acc_score
1,2876,5,black_non_poverty,health2_acc_score
2,62,5,white_poverty,health2_acc_score
3,171,5,white_non_poverty,health2_acc_score
4,4675,6,black_poverty,health2_acc_score
5,8352,6,black_non_poverty,health2_acc_score
6,477,6,white_poverty,health2_acc_score
7,642,6,white_non_poverty,health2_acc_score
8,10925,7,black_poverty,health2_acc_score
9,22111,7,black_non_poverty,health2_acc_score
10,1216,7,white_poverty,health2_acc_score
11,2377,7,white_non_poverty,health2_acc_score
12,14671,8,black_poverty,health2_acc_score
13,39647,8,black_non_poverty,health2_acc_score
14,1695,8,white_poverty,health2_acc_score
15,13503,8,white_non_poverty,health2_acc_score
16,4511,9,black_poverty,health2_acc_score
17,15643,9,black_non_poverty,health2_acc_score
18,5506,9,white_poverty,health2_acc_score
19,45340,9,white_non_poverty,health2_acc_score
20,2997,10,black_poverty,health2_acc_score
21,18689,10,black_non_poverty,health2_acc_score
22,8968,10,white_poverty,health2_acc_score
23,165654,10,white_non_poverty,health2_acc_score
0,1002,3,black_poverty,health2_Monday_score
1,1107,3,black_non_poverty,health2_Monday_score
2,22,3,white_poverty,health2_Monday_score
3,123,3,white_non_poverty,health2_Monday_score
4,1457,4,black_poverty,health2_Monday_score
5,2119,4,black_non_poverty,health2_Monday_score
6,194,4,white_poverty,health2_Monday_score
7,315,4,white_non_poverty,health2_Monday_score
8,7625,5,black_poverty,health2_Monday_score
9,12726,5,black_non_poverty,health2_Monday_score
10,393,5,white_poverty,health2_Monday_score
11,545,5,white_non_poverty,health2_Monday_score
12,5088,6,black_poverty,health2_Monday_score
