index,num,accessibility,race,label
0,2445,1,black_poverty,health_acc_score
1,577,1,black_non_poverty,health_acc_score
2,919,1,white_poverty,health_acc_score
3,352,1,white_non_poverty,health_acc_score
4,29,2,black_poverty,health_acc_score
5,97,2,black_non_poverty,health_acc_score
6,73,2,white_poverty,health_acc_score
7,187,2,white_non_poverty,health_acc_score
8,12,3,black_poverty,health_acc_score
9,119,3,black_non_poverty,health_acc_score
10,16,3,white_poverty,health_acc_score
11,103,3,white_non_poverty,health_acc_score
12,545,4,black_poverty,health_acc_score
13,1046,4,black_non_poverty,health_acc_score
14,775,4,white_poverty,health_acc_score
15,2119,4,white_non_poverty,health_acc_score
16,2718,5,black_poverty,health_acc_score
17,4326,5,black_non_poverty,health_acc_score
18,2429,5,white_poverty,health_acc_score
19,8600,5,white_non_poverty,health_acc_score
20,4511,6,black_poverty,health_acc_score
21,6585,6,black_non_poverty,health_acc_score
22,1390,6,white_poverty,health_acc_score
23,5092,6,white_non_poverty,health_acc_score
24,8143,7,black_poverty,health_acc_score
25,16370,7,black_non_poverty,health_acc_score
26,4610,7,white_poverty,health_acc_score
27,12665,7,white_non_poverty,health_acc_score
28,15710,8,black_poverty,health_acc_score
29,38063,8,black_non_poverty,health_acc_score
30,9793,8,white_poverty,health_acc_score
31,30321,8,white_non_poverty,health_acc_score
32,12912,9,black_poverty,health_acc_score
33,41525,9,black_non_poverty,health_acc_score
34,7986,9,white_poverty,health_acc_score
35,47708,9,white_non_poverty,health_acc_score
36,6876,10,black_poverty,health_acc_score
37,33602,10,black_non_poverty,health_acc_score
38,11664,10,white_poverty,health_acc_score
39,105254,10,white_non_poverty,health_acc_score
0,3002,1,black_poverty,health2_acc_score
1,1569,1,black_non_poverty,health2_acc_score
2,1742,1,white_poverty,health2_acc_score
3,2158,1,white_non_poverty,health2_acc_score
4,3387,2,black_poverty,health2_acc_score
5,5865,2,black_non_poverty,health2_acc_score
6,4491,2,white_poverty,health2_acc_score
7,13714,2,white_non_poverty,health2_acc_score
8,7676,3,black_poverty,health2_acc_score
9,14621,3,black_non_poverty,health2_acc_score
10,7634,3,white_poverty,health2_acc_score
11,23188,3,white_non_poverty,health2_acc_score
12,9188,4,black_poverty,health2_acc_score
13,20956,4,black_non_poverty,health2_acc_score
14,6301,4,white_poverty,health2_acc_score
15,25120,4,white_non_poverty,health2_acc_score
16,11892,5,black_poverty,health2_acc_score
17,30606,5,black_non_poverty,health2_acc_score
18,4985,5,white_poverty,health2_acc_score
19,27814,5,white_non_poverty,health2_acc_score
20,9926,6,black_poverty,health2_acc_score
21,37160,6,black_non_poverty,health2_acc_score
22,5059,6,white_poverty,health2_acc_score
23,35692,6,white_non_poverty,health2_acc_score
24,4859,7,black_poverty,health2_acc_score
25,17334,7,black_non_poverty,health2_acc_score
26,3889,7,white_poverty,health2_acc_score
27,33885,7,white_non_poverty,health2_acc_score
28,2887,8,black_poverty,health2_acc_score
29,8199,8,black_non_poverty,health2_acc_score
30,3328,8,white_poverty,health2_acc_score
31,26520,8,white_non_poverty,health2_acc_score
32,783,9,black_poverty,health2_acc_score
33,1563,9,black_non_poverty,health2_acc_score
34,1222,9,white_poverty,health2_acc_score
35,11902,9,white_non_poverty,health2_acc_score
36,301,10,black_poverty,health2_acc_score
37,4437,10,black_non_poverty,health2_acc_score
38,1004,10,white_poverty,health2_acc_score
39,12408,10,white_non_poverty,health2_acc_score
0,4083,1,black_poverty,health2_Monday_score
1,3745,1,black_non_poverty,health2_Monday_score
