index,num,accessibility,race,label
0,83,1,white_poverty,health_acc_score
1,1212,1,white_non_poverty,health_acc_score
2,49,2,black_poverty,health_acc_score
3,835,2,black_non_poverty,health_acc_score
4,708,2,white_poverty,health_acc_score
5,7281,2,white_non_poverty,health_acc_score
6,2020,3,black_poverty,health_acc_score
7,2022,3,black_non_poverty,health_acc_score
8,464,3,white_poverty,health_acc_score
9,3590,3,white_non_poverty,health_acc_score
10,12248,4,black_poverty,health_acc_score
11,17271,4,black_non_poverty,health_acc_score
12,1164,4,white_poverty,health_acc_score
13,9730,4,white_non_poverty,health_acc_score
14,8443,5,black_poverty,health_acc_score
15,16254,5,black_non_poverty,health_acc_score
16,947,5,white_poverty,health_acc_score
17,11869,5,white_non_poverty,health_acc_score
18,5300,6,black_poverty,health_acc_score
19,9053,6,black_non_poverty,health_acc_score
20,741,6,white_poverty,health_acc_score
21,2794,6,white_non_poverty,health_acc_score
22,5202,7,black_poverty,health_acc_score
23,12089,7,black_non_poverty,health_acc_score
24,281,7,white_poverty,health_acc_score
25,1598,7,white_non_poverty,health_acc_score
26,4424,8,black_poverty,health_acc_score
27,10262,8,black_non_poverty,health_acc_score
28,1824,8,white_poverty,health_acc_score
29,15018,8,white_non_poverty,health_acc_score
30,706,9,black_poverty,health_acc_score
31,2608,9,black_non_poverty,health_acc_score
32,1837,9,white_poverty,health_acc_score
33,11132,9,white_non_poverty,health_acc_score
34,878,10,black_poverty,health_acc_score
35,5169,10,black_non_poverty,health_acc_score
36,2412,10,white_poverty,health_acc_score
37,28888,10,white_non_poverty,health_acc_score
0,83,1,white_poverty,health2_acc_score
1,1212,1,white_non_poverty,health2_acc_score
2,49,2,black_poverty,health2_acc_score
3,835,2,black_non_poverty,health2_acc_score
4,708,2,white_poverty,health2_acc_score
5,7281,2,white_non_poverty,health2_acc_score
6,2020,3,black_poverty,health2_acc_score
7,2022,3,black_non_poverty,health2_acc_score
8,464,3,white_poverty,health2_acc_score
9,3590,3,white_non_poverty,health2_acc_score
10,12210,4,black_poverty,health2_acc_score
11,17145,4,black_non_poverty,health2_acc_score
12,1139,4,white_poverty,health2_acc_score
13,9692,4,white_non_poverty,health2_acc_score
14,8463,5,black_poverty,health2_acc_score
15,16217,5,black_non_poverty,health2_acc_score
16,972,5,white_poverty,health2_acc_score
17,9614,5,white_non_poverty,health2_acc_score
18,3704,6,black_poverty,health2_acc_score
19,6099,6,black_non_poverty,health2_acc_score
20,290,6,white_poverty,health2_acc_score
21,4006,6,white_non_poverty,health2_acc_score
22,5637,7,black_poverty,health2_acc_score
23,10312,7,black_non_poverty,health2_acc_score
24,628,7,white_poverty,health2_acc_score
25,2257,7,white_non_poverty,health2_acc_score
26,5431,8,black_poverty,health2_acc_score
27,13980,8,black_non_poverty,health2_acc_score
28,1035,8,white_poverty,health2_acc_score
29,8015,8,white_non_poverty,health2_acc_score
30,693,9,black_poverty,health2_acc_score
31,2714,9,black_non_poverty,health2_acc_score
32,1713,9,white_poverty,health2_acc_score
33,14071,9,white_non_poverty,health2_acc_score
34,1063,10,black_poverty,health2_acc_score
35,6239,10,black_non_poverty,health2_acc_score
36,3429,10,white_poverty,health2_acc_score
37,33374,10,white_non_poverty,health2_acc_score
0,2069,1,black_poverty,health2_Monday_score
1,2857,1,black_non_poverty,health2_Monday_score
2,1255,1,white_poverty,health2_Monday_score
3,12083,1,white_non_poverty,health2_Monday_score
4,13113,2,black_poverty,health2_Monday_score
5,19268,2,black_non_poverty,health2_Monday_score
6,1429,2,white_poverty,health2_Monday_score
7,12657,2,white_non_poverty,health2_Monday_score
8,11264,3,black_poverty,health2_Monday_score
9,20193,3,black_non_poverty,health2_Monday_score
10,972,3,white_poverty,health2_Monday_score
11,10655,3,white_non_poverty,health2_Monday_score
12,5637,4,black_poverty,health2_Monday_score
13,10312,4,black_non_poverty,health2_Monday_score
14,628,4,white_poverty,health2_Monday_score
15,2257,4,white_non_poverty,health2_Monday_score
16,5102,5,black_poverty,health2_Monday_score
17,13950,5,black_non_poverty,health2_Monday_score
18,1045,5,white_poverty,health2_Monday_score
19,8962,5,white_non_poverty,health2_Monday_score
20,734,6,black_poverty,health2_Monday_score
21,2369,6,black_non_poverty,health2_Monday_score
22,1210,6,white_poverty,health2_Monday_score
23,8105,6,white_non_poverty,health2_Monday_score
24,492,7,black_poverty,health2_Monday_score
25,1636,7,black_non_poverty,health2_Monday_score
26,1589,7,white_poverty,health2_Monday_score
27,10301,7,white_non_poverty,health2_Monday_score
28,645,8,black_poverty,health2_Monday_score
29,2191,8,black_non_poverty,health2_Monday_score
30,863,8,white_poverty,health2_Monday_score
31,10987,8,white_non_poverty,health2_Monday_score
32,168,9,black_poverty,health2_Monday_score
33,1579,9,black_non_poverty,health2_Monday_score
34,1364,9,white_poverty,health2_Monday_score
35,13581,9,white_non_poverty,health2_Monday_score
36,46,10,black_poverty,health2_Monday_score
37,1208,10,black_non_poverty,health2_Monday_score
38,106,10,white_poverty,health2_Monday_score
39,3524,10,white_non_poverty,health2_Monday_score
0,6479,1,black_poverty,health2_compete2_score
1,9090,1,black_non_poverty,health2_compete2_score
2,1923,1,white_poverty,health2_compete2_score
3,20071,1,white_non_poverty,health2_compete2_score
4,19652,2,black_poverty,health2_compete2_score
5,31840,2,black_non_poverty,health2_compete2_score
6,1767,2,white_poverty,health2_compete2_score
7,13141,2,white_non_poverty,health2_compete2_score
8,8949,3,black_poverty,health2_compete2_score
9,22382,3,black_non_poverty,health2_compete2_score
10,1595,3,white_poverty,health2_compete2_score
11,13681,3,white_non_poverty,health2_compete2_score
12,2469,4,black_poverty,health2_compete2_score
13,5015,4,black_non_poverty,health2_compete2_score
14,1214,4,white_poverty,health2_compete2_score
15,9217,4,white_non_poverty,health2_compete2_score
16,1444,5,black_poverty,health2_compete2_score
17,3633,5,black_non_poverty,health2_compete2_score
18,1890,5,white_poverty,health2_compete2_score
19,11280,5,white_non_poverty,health2_compete2_score
20,75,6,black_poverty,health2_compete2_score
21,1694,6,black_non_poverty,health2_compete2_score
22,877,6,white_poverty,health2_compete2_score
23,12351,6,white_non_poverty,health2_compete2_score
24,156,7,black_poverty,health2_compete2_score
