index,num,accessibility,race,label
0,744,5,black_poverty,health_acc_score
1,811,5,black_non_poverty,health_acc_score
2,564,5,white_poverty,health_acc_score
3,1147,5,white_non_poverty,health_acc_score
4,4307,6,black_poverty,health_acc_score
5,4013,6,black_non_poverty,health_acc_score
6,3054,6,white_poverty,health_acc_score
7,4756,6,white_non_poverty,health_acc_score
8,5536,7,black_poverty,health_acc_score
9,4324,7,black_non_poverty,health_acc_score
10,3634,7,white_poverty,health_acc_score
11,11672,7,white_non_poverty,health_acc_score
12,4198,8,black_poverty,health_acc_score
13,3766,8,black_non_poverty,health_acc_score
14,1699,8,white_poverty,health_acc_score
15,7613,8,white_non_poverty,health_acc_score
16,3625,9,black_poverty,health_acc_score
17,6563,9,black_non_poverty,health_acc_score
18,4458,9,white_poverty,health_acc_score
19,22702,9,white_non_poverty,health_acc_score
20,1824,10,black_poverty,health_acc_score
21,3944,10,black_non_poverty,health_acc_score
22,2437,10,white_poverty,health_acc_score
23,30148,10,white_non_poverty,health_acc_score
0,744,5,black_poverty,health2_acc_score
1,811,5,black_non_poverty,health2_acc_score
2,564,5,white_poverty,health2_acc_score
3,1147,5,white_non_poverty,health2_acc_score
4,4307,6,black_poverty,health2_acc_score
5,4013,6,black_non_poverty,health2_acc_score
6,3054,6,white_poverty,health2_acc_score
7,4756,6,white_non_poverty,health2_acc_score
8,5536,7,black_poverty,health2_acc_score
9,4324,7,black_non_poverty,health2_acc_score
10,3634,7,white_poverty,health2_acc_score
11,11672,7,white_non_poverty,health2_acc_score
12,4198,8,black_poverty,health2_acc_score
13,3766,8,black_non_poverty,health2_acc_score
14,1699,8,white_poverty,health2_acc_score
15,7613,8,white_non_poverty,health2_acc_score
16,3602,9,black_poverty,health2_acc_score
17,6455,9,black_non_poverty,health2_acc_score
18,4355,9,white_poverty,health2_acc_score
19,21475,9,white_non_poverty,health2_acc_score
20,1847,10,black_poverty,health2_acc_score
21,4052,10,black_non_poverty,health2_acc_score
22,2540,10,white_poverty,health2_acc_score
23,31375,10,white_non_poverty,health2_acc_score
0,3895,4,black_poverty,health2_Monday_score
1,3877,4,black_non_poverty,health2_Monday_score
2,1570,4,white_poverty,health2_Monday_score
3,4796,4,white_non_poverty,health2_Monday_score
4,4033,5,black_poverty,health2_Monday_score
5,3044,5,black_non_poverty,health2_Monday_score
6,4593,5,white_poverty,health2_Monday_score
7,8624,5,white_non_poverty,health2_Monday_score
8,3523,6,black_poverty,health2_Monday_score
9,2922,6,black_non_poverty,health2_Monday_score
10,1350,6,white_poverty,health2_Monday_score
11,4634,6,white_non_poverty,health2_Monday_score
12,2815,7,black_poverty,health2_Monday_score
13,2648,7,black_non_poverty,health2_Monday_score
14,471,7,white_poverty,health2_Monday_score
15,3292,7,white_non_poverty,health2_Monday_score
16,1929,8,black_poverty,health2_Monday_score
17,1763,8,black_non_poverty,health2_Monday_score
18,1837,8,white_poverty,health2_Monday_score
19,9653,8,white_non_poverty,health2_Monday_score
20,2884,9,black_poverty,health2_Monday_score
