index,num,accessibility,race,label
0,383,4,black_non_poverty,health_acc_score
1,257,4,white_poverty,health_acc_score
2,4809,4,white_non_poverty,health_acc_score
3,21,5,black_poverty,health_acc_score
4,769,5,black_non_poverty,health_acc_score
5,245,5,white_poverty,health_acc_score
6,1627,5,white_non_poverty,health_acc_score
7,7656,6,black_poverty,health_acc_score
8,22591,6,black_non_poverty,health_acc_score
9,1969,6,white_poverty,health_acc_score
10,10252,6,white_non_poverty,health_acc_score
11,10506,7,black_poverty,health_acc_score
12,31167,7,black_non_poverty,health_acc_score
13,3346,7,white_poverty,health_acc_score
14,36116,7,white_non_poverty,health_acc_score
15,11961,8,black_poverty,health_acc_score
16,43848,8,black_non_poverty,health_acc_score
17,6093,8,white_poverty,health_acc_score
18,34049,8,white_non_poverty,health_acc_score
19,6053,9,black_poverty,health_acc_score
20,17860,9,black_non_poverty,health_acc_score
21,4082,9,white_poverty,health_acc_score
22,31784,9,white_non_poverty,health_acc_score
23,6897,10,black_poverty,health_acc_score
24,17816,10,black_non_poverty,health_acc_score
25,7798,10,white_poverty,health_acc_score
26,74491,10,white_non_poverty,health_acc_score
0,383,4,black_non_poverty,health2_acc_score
1,257,4,white_poverty,health2_acc_score
2,4809,4,white_non_poverty,health2_acc_score
3,539,5,black_non_poverty,health2_acc_score
4,210,5,white_poverty,health2_acc_score
5,995,5,white_non_poverty,health2_acc_score
6,7590,6,black_poverty,health2_acc_score
7,21776,6,black_non_poverty,health2_acc_score
8,1700,6,white_poverty,health2_acc_score
9,9526,6,white_non_poverty,health2_acc_score
10,10518,7,black_poverty,health2_acc_score
11,31487,7,black_non_poverty,health2_acc_score
12,3607,7,white_poverty,health2_acc_score
13,35021,7,white_non_poverty,health2_acc_score
14,11104,8,black_poverty,health2_acc_score
15,40110,8,black_non_poverty,health2_acc_score
16,5858,8,white_poverty,health2_acc_score
17,34904,8,white_non_poverty,health2_acc_score
18,6985,9,black_poverty,health2_acc_score
19,22323,9,black_non_poverty,health2_acc_score
20,4360,9,white_poverty,health2_acc_score
21,33382,9,white_non_poverty,health2_acc_score
22,6897,10,black_poverty,health2_acc_score
23,17816,10,black_non_poverty,health2_acc_score
24,7798,10,white_poverty,health2_acc_score
25,74491,10,white_non_poverty,health2_acc_score
0,922,4,black_non_poverty,health2_Monday_score
1,467,4,white_poverty,health2_Monday_score
2,5804,4,white_non_poverty,health2_Monday_score
3,5682,5,black_poverty,health2_Monday_score
4,13724,5,black_non_poverty,health2_Monday_score
5,694,5,white_poverty,health2_Monday_score
6,3098,5,white_non_poverty,health2_Monday_score
7,5634,6,black_poverty,health2_Monday_score
8,15589,6,black_non_poverty,health2_Monday_score
9,1774,6,white_poverty,health2_Monday_score
10,9610,6,white_non_poverty,health2_Monday_score
11,8959,7,black_poverty,health2_Monday_score
12,29458,7,black_non_poverty,health2_Monday_score
13,3587,7,white_poverty,health2_Monday_score
14,31656,7,white_non_poverty,health2_Monday_score
15,8923,8,black_poverty,health2_Monday_score
16,34064,8,black_non_poverty,health2_Monday_score
17,4759,8,white_poverty,health2_Monday_score
18,39112,8,white_non_poverty,health2_Monday_score
19,7028,9,black_poverty,health2_Monday_score
20,23595,9,black_non_poverty,health2_Monday_score
21,5543,9,white_poverty,health2_Monday_score
22,39644,9,white_non_poverty,health2_Monday_score
23,6868,10,black_poverty,health2_Monday_score
24,17082,10,black_non_poverty,health2_Monday_score
25,6966,10,white_poverty,health2_Monday_score
26,64204,10,white_non_poverty,health2_Monday_score
0,383,4,black_non_poverty,health2_compete2_score
1,257,4,white_poverty,health2_compete2_score
2,4809,4,white_non_poverty,health2_compete2_score
3,6008,5,black_poverty,health2_compete2_score
4,16275,5,black_non_poverty,health2_compete2_score
5,509,5,white_poverty,health2_compete2_score
6,3227,5,white_non_poverty,health2_compete2_score
7,5260,6,black_poverty,health2_compete2_score
8,12594,6,black_non_poverty,health2_compete2_score
9,1954,6,white_poverty,health2_compete2_score
10,11382,6,white_non_poverty,health2_compete2_score
11,7601,7,black_poverty,health2_compete2_score
12,27332,7,black_non_poverty,health2_compete2_score
13,3243,7,white_poverty,health2_compete2_score
14,29663,7,white_non_poverty,health2_compete2_score
15,9027,8,black_poverty,health2_compete2_score
16,32248,8,black_non_poverty,health2_compete2_score
17,4622,8,white_poverty,health2_compete2_score
18,34395,8,white_non_poverty,health2_compete2_score
19,8198,9,black_poverty,health2_compete2_score
20,27489,9,black_non_poverty,health2_compete2_score
21,5464,9,white_poverty,health2_compete2_score
22,41271,9,white_non_poverty,health2_compete2_score
23,7000,10,black_poverty,health2_compete2_score
24,18113,10,black_non_poverty,health2_compete2_score
25,7741,10,white_poverty,health2_compete2_score
26,68381,10,white_non_poverty,health2_compete2_score
0,922,4,black_non_poverty,health2_compete1.5_score
1,467,4,white_poverty,health2_compete1.5_score
2,5804,4,white_non_poverty,health2_compete1.5_score
3,5663,5,black_poverty,health2_compete1.5_score
4,13675,5,black_non_poverty,health2_compete1.5_score
5,254,5,white_poverty,health2_compete1.5_score
6,1782,5,white_non_poverty,health2_compete1.5_score
7,5599,6,black_poverty,health2_compete1.5_score
8,14582,6,black_non_poverty,health2_compete1.5_score
9,1957,6,white_poverty,health2_compete1.5_score
10,11326,6,white_non_poverty,health2_compete1.5_score
11,7607,7,black_poverty,health2_compete1.5_score
12,27405,7,black_non_poverty,health2_compete1.5_score
13,3285,7,white_poverty,health2_compete1.5_score
14,30169,7,white_non_poverty,health2_compete1.5_score
15,8953,8,black_poverty,health2_compete1.5_score
16,31540,8,black_non_poverty,health2_compete1.5_score
17,4130,8,white_poverty,health2_compete1.5_score
18,29298,8,white_non_poverty,health2_compete1.5_score
19,8196,9,black_poverty,health2_compete1.5_score
20,28054,9,black_non_poverty,health2_compete1.5_score
21,5965,9,white_poverty,health2_compete1.5_score
22,43511,9,white_non_poverty,health2_compete1.5_score
23,7076,10,black_poverty,health2_compete1.5_score
24,18256,10,black_non_poverty,health2_compete1.5_score
25,7732,10,white_poverty,health2_compete1.5_score
26,71238,10,white_non_poverty,health2_compete1.5_score
0,922,5,black_non_poverty,food_acc_score
1,467,5,white_poverty,food_acc_score
2,5804,5,white_non_poverty,food_acc_score
3,7358,6,black_poverty,food_acc_score
4,19729,6,black_non_poverty,food_acc_score
5,1434,6,white_poverty,food_acc_score
6,10810,6,white_non_poverty,food_acc_score
7,6461,7,black_poverty,food_acc_score
8,21099,7,black_non_poverty,food_acc_score
9,2967,7,white_poverty,food_acc_score
10,19316,7,white_non_poverty,food_acc_score
11,8659,8,black_poverty,food_acc_score
12,25805,8,black_non_poverty,food_acc_score
13,4415,8,white_poverty,food_acc_score
14,35752,8,white_non_poverty,food_acc_score
15,12691,9,black_poverty,food_acc_score
16,38919,9,black_non_poverty,food_acc_score
17,5155,9,white_poverty,food_acc_score
18,53315,9,white_non_poverty,food_acc_score
19,7925,10,black_poverty,food_acc_score
20,27960,10,black_non_poverty,food_acc_score
21,9352,10,white_poverty,food_acc_score
22,68131,10,white_non_poverty,food_acc_score
0,922,5,black_non_poverty,food2_acc_score
1,467,5,white_poverty,food2_acc_score
2,5804,5,white_non_poverty,food2_acc_score
3,7922,6,black_poverty,food2_acc_score
4,20566,6,black_non_poverty,food2_acc_score
5,1364,6,white_poverty,food2_acc_score
6,9354,6,white_non_poverty,food2_acc_score
7,9035,7,black_poverty,food2_acc_score
8,28145,7,black_non_poverty,food2_acc_score
9,3413,7,white_poverty,food2_acc_score
