index,num,accessibility,race,label
0,19,2,black_poverty,health_acc_score
1,220,2,black_non_poverty,health_acc_score
2,66,2,white_poverty,health_acc_score
3,1175,2,white_non_poverty,health_acc_score
4,4185,3,black_poverty,health_acc_score
5,4635,3,black_non_poverty,health_acc_score
6,766,3,white_poverty,health_acc_score
7,2573,3,white_non_poverty,health_acc_score
8,11866,4,black_poverty,health_acc_score
9,16140,4,black_non_poverty,health_acc_score
10,1798,4,white_poverty,health_acc_score
11,2347,4,white_non_poverty,health_acc_score
12,30504,5,black_poverty,health_acc_score
13,45034,5,black_non_poverty,health_acc_score
14,2911,5,white_poverty,health_acc_score
15,7755,5,white_non_poverty,health_acc_score
16,50788,6,black_poverty,health_acc_score
17,98290,6,black_non_poverty,health_acc_score
18,6891,6,white_poverty,health_acc_score
19,28658,6,white_non_poverty,health_acc_score
20,30554,7,black_poverty,health_acc_score
21,66506,7,black_non_poverty,health_acc_score
22,4726,7,white_poverty,health_acc_score
23,25084,7,white_non_poverty,health_acc_score
24,23845,8,black_poverty,health_acc_score
25,75360,8,black_non_poverty,health_acc_score
26,9488,8,white_poverty,health_acc_score
27,53339,8,white_non_poverty,health_acc_score
28,14999,9,black_poverty,health_acc_score
29,44549,9,black_non_poverty,health_acc_score
30,9813,9,white_poverty,health_acc_score
31,65449,9,white_non_poverty,health_acc_score
32,10253,10,black_poverty,health_acc_score
33,43676,10,black_non_poverty,health_acc_score
34,16783,10,white_poverty,health_acc_score
35,214989,10,white_non_poverty,health_acc_score
0,19,2,black_poverty,health2_acc_score
1,220,2,black_non_poverty,health2_acc_score
2,66,2,white_poverty,health2_acc_score
3,1175,2,white_non_poverty,health2_acc_score
4,4644,3,black_poverty,health2_acc_score
5,5481,3,black_non_poverty,health2_acc_score
6,1233,3,white_poverty,health2_acc_score
7,3843,3,white_non_poverty,health2_acc_score
8,13926,4,black_poverty,health2_acc_score
9,17911,4,black_non_poverty,health2_acc_score
10,1763,4,white_poverty,health2_acc_score
11,3036,4,white_non_poverty,health2_acc_score
12,29750,5,black_poverty,health2_acc_score
13,44722,5,black_non_poverty,health2_acc_score
14,3404,5,white_poverty,health2_acc_score
15,8966,5,white_non_poverty,health2_acc_score
16,51643,6,black_poverty,health2_acc_score
17,100667,6,black_non_poverty,health2_acc_score
18,6231,6,white_poverty,health2_acc_score
19,27782,6,white_non_poverty,health2_acc_score
20,32376,7,black_poverty,health2_acc_score
21,73769,7,black_non_poverty,health2_acc_score
22,5544,7,white_poverty,health2_acc_score
23,25276,7,white_non_poverty,health2_acc_score
24,22035,8,black_poverty,health2_acc_score
25,71984,8,black_non_poverty,health2_acc_score
26,10332,8,white_poverty,health2_acc_score
27,55021,8,white_non_poverty,health2_acc_score
28,12524,9,black_poverty,health2_acc_score
29,36234,9,black_non_poverty,health2_acc_score
30,8633,9,white_poverty,health2_acc_score
31,71175,9,white_non_poverty,health2_acc_score
32,10096,10,black_poverty,health2_acc_score
33,43422,10,black_non_poverty,health2_acc_score
34,16036,10,white_poverty,health2_acc_score
35,205095,10,white_non_poverty,health2_acc_score
0,619,1,black_poverty,health2_Monday_score
1,760,1,black_non_poverty,health2_Monday_score
2,708,1,white_poverty,health2_Monday_score
3,3451,1,white_non_poverty,health2_Monday_score
4,7775,2,black_poverty,health2_Monday_score
5,9757,2,black_non_poverty,health2_Monday_score
6,699,2,white_poverty,health2_Monday_score
7,1796,2,white_non_poverty,health2_Monday_score
8,25341,3,black_poverty,health2_Monday_score
9,32317,3,black_non_poverty,health2_Monday_score
10,2140,3,white_poverty,health2_Monday_score
11,3424,3,white_non_poverty,health2_Monday_score
12,41345,4,black_poverty,health2_Monday_score
13,76485,4,black_non_poverty,health2_Monday_score
14,6010,4,white_poverty,health2_Monday_score
15,16857,4,white_non_poverty,health2_Monday_score
16,34995,5,black_poverty,health2_Monday_score
17,70117,5,black_non_poverty,health2_Monday_score
18,4438,5,white_poverty,health2_Monday_score
19,24969,5,white_non_poverty,health2_Monday_score
20,32698,6,black_poverty,health2_Monday_score
21,72451,6,black_non_poverty,health2_Monday_score
22,9103,6,white_poverty,health2_Monday_score
23,38385,6,white_non_poverty,health2_Monday_score
24,14789,7,black_poverty,health2_Monday_score
25,53655,7,black_non_poverty,health2_Monday_score
26,8404,7,white_poverty,health2_Monday_score
27,58711,7,white_non_poverty,health2_Monday_score
28,7289,8,black_poverty,health2_Monday_score
29,29833,8,black_non_poverty,health2_Monday_score
30,7623,8,white_poverty,health2_Monday_score
31,87069,8,white_non_poverty,health2_Monday_score
32,9929,9,black_poverty,health2_Monday_score
33,36283,9,black_non_poverty,health2_Monday_score
34,5862,9,white_poverty,health2_Monday_score
35,63427,9,white_non_poverty,health2_Monday_score
36,2233,10,black_poverty,health2_Monday_score
37,12752,10,black_non_poverty,health2_Monday_score
38,8255,10,white_poverty,health2_Monday_score
39,103280,10,white_non_poverty,health2_Monday_score
0,19,1,black_poverty,health2_compete2_score
1,220,1,black_non_poverty,health2_compete2_score
2,66,1,white_poverty,health2_compete2_score
3,1175,1,white_non_poverty,health2_compete2_score
4,5276,2,black_poverty,health2_compete2_score
5,6649,2,black_non_poverty,health2_compete2_score
6,1330,2,white_poverty,health2_compete2_score
7,4342,2,white_non_poverty,health2_compete2_score
8,21414,3,black_poverty,health2_compete2_score
9,28660,3,black_non_poverty,health2_compete2_score
10,2631,3,white_poverty,health2_compete2_score
11,9307,3,white_non_poverty,health2_compete2_score
12,45766,4,black_poverty,health2_compete2_score
