index,num,accessibility,race,label
0,24,2,white_poverty,health_acc_score
1,55,2,white_non_poverty,health_acc_score
2,306,3,black_poverty,health_acc_score
3,2424,3,black_non_poverty,health_acc_score
4,552,3,white_poverty,health_acc_score
5,4030,3,white_non_poverty,health_acc_score
6,886,4,black_poverty,health_acc_score
7,2785,4,black_non_poverty,health_acc_score
8,512,4,white_poverty,health_acc_score
9,3030,4,white_non_poverty,health_acc_score
10,1512,5,black_poverty,health_acc_score
11,5463,5,black_non_poverty,health_acc_score
12,597,5,white_poverty,health_acc_score
13,5058,5,white_non_poverty,health_acc_score
14,1807,6,black_poverty,health_acc_score
15,3860,6,black_non_poverty,health_acc_score
16,1744,6,white_poverty,health_acc_score
17,6253,6,white_non_poverty,health_acc_score
18,2591,7,black_poverty,health_acc_score
19,8372,7,black_non_poverty,health_acc_score
20,3714,7,white_poverty,health_acc_score
21,14538,7,white_non_poverty,health_acc_score
22,4079,8,black_poverty,health_acc_score
23,8714,8,black_non_poverty,health_acc_score
24,6707,8,white_poverty,health_acc_score
25,21446,8,white_non_poverty,health_acc_score
26,1919,9,black_poverty,health_acc_score
27,4252,9,black_non_poverty,health_acc_score
28,6323,9,white_poverty,health_acc_score
29,33018,9,white_non_poverty,health_acc_score
30,3422,10,black_poverty,health_acc_score
31,7006,10,black_non_poverty,health_acc_score
32,7143,10,white_poverty,health_acc_score
33,52270,10,white_non_poverty,health_acc_score
0,54,2,black_poverty,health2_acc_score
1,262,2,black_non_poverty,health2_acc_score
2,135,2,white_poverty,health2_acc_score
3,1042,2,white_non_poverty,health2_acc_score
4,1884,3,black_poverty,health2_acc_score
5,7958,3,black_non_poverty,health2_acc_score
6,1305,3,white_poverty,health2_acc_score
7,8385,3,white_non_poverty,health2_acc_score
8,1627,4,black_poverty,health2_acc_score
9,5427,4,black_non_poverty,health2_acc_score
10,868,4,white_poverty,health2_acc_score
11,6747,4,white_non_poverty,health2_acc_score
12,2279,5,black_poverty,health2_acc_score
13,7832,5,black_non_poverty,health2_acc_score
14,3268,5,white_poverty,health2_acc_score
15,13364,5,white_non_poverty,health2_acc_score
16,2213,6,black_poverty,health2_acc_score
17,4009,6,black_non_poverty,health2_acc_score
18,2513,6,white_poverty,health2_acc_score
19,6291,6,white_non_poverty,health2_acc_score
20,1923,7,black_poverty,health2_acc_score
21,4591,7,black_non_poverty,health2_acc_score
22,4183,7,white_poverty,health2_acc_score
23,11572,7,white_non_poverty,health2_acc_score
24,2271,8,black_poverty,health2_acc_score
25,3598,8,black_non_poverty,health2_acc_score
26,3042,8,white_poverty,health2_acc_score
27,13492,8,white_non_poverty,health2_acc_score
28,1214,9,black_poverty,health2_acc_score
29,2832,9,black_non_poverty,health2_acc_score
30,4297,9,white_poverty,health2_acc_score
31,14606,9,white_non_poverty,health2_acc_score
32,3057,10,black_poverty,health2_acc_score
33,6367,10,black_non_poverty,health2_acc_score
34,7705,10,white_poverty,health2_acc_score
35,64199,10,white_non_poverty,health2_acc_score
0,1192,2,black_poverty,health2_Monday_score
1,5209,2,black_non_poverty,health2_Monday_score
2,1088,2,white_poverty,health2_Monday_score
3,7115,2,white_non_poverty,health2_Monday_score
4,2298,3,black_poverty,health2_Monday_score
5,8322,3,black_non_poverty,health2_Monday_score
6,1202,3,white_poverty,health2_Monday_score
7,8911,3,white_non_poverty,health2_Monday_score
8,1723,4,black_poverty,health2_Monday_score
9,5672,4,black_non_poverty,health2_Monday_score
10,2987,4,white_poverty,health2_Monday_score
11,9571,4,white_non_poverty,health2_Monday_score
12,3084,5,black_poverty,health2_Monday_score
13,6914,5,black_non_poverty,health2_Monday_score
14,3408,5,white_poverty,health2_Monday_score
15,11967,5,white_non_poverty,health2_Monday_score
16,2934,6,black_poverty,health2_Monday_score
17,5664,6,black_non_poverty,health2_Monday_score
18,5153,6,white_poverty,health2_Monday_score
19,16461,6,white_non_poverty,health2_Monday_score
20,1279,7,black_poverty,health2_Monday_score
21,2311,7,black_non_poverty,health2_Monday_score
22,2458,7,white_poverty,health2_Monday_score
23,12228,7,white_non_poverty,health2_Monday_score
24,914,8,black_poverty,health2_Monday_score
25,1891,8,black_non_poverty,health2_Monday_score
26,3239,8,white_poverty,health2_Monday_score
27,9119,8,white_non_poverty,health2_Monday_score
28,2423,9,black_poverty,health2_Monday_score
29,5215,9,black_non_poverty,health2_Monday_score
30,5174,9,white_poverty,health2_Monday_score
31,39796,9,white_non_poverty,health2_Monday_score
32,675,10,black_poverty,health2_Monday_score
33,1678,10,black_non_poverty,health2_Monday_score
34,2607,10,white_poverty,health2_Monday_score
35,24530,10,white_non_poverty,health2_Monday_score
0,446,2,black_poverty,health2_compete2_score
1,3292,2,black_non_poverty,health2_compete2_score
2,725,2,white_poverty,health2_compete2_score
3,5191,2,white_non_poverty,health2_compete2_score
4,2496,3,black_poverty,health2_compete2_score
5,8097,3,black_non_poverty,health2_compete2_score
6,1105,3,white_poverty,health2_compete2_score
7,7370,3,white_non_poverty,health2_compete2_score
8,1428,4,black_poverty,health2_compete2_score
9,4395,4,black_non_poverty,health2_compete2_score
10,1702,4,white_poverty,health2_compete2_score
11,7244,4,white_non_poverty,health2_compete2_score
12,3687,5,black_poverty,health2_compete2_score
13,9704,5,black_non_poverty,health2_compete2_score
14,4557,5,white_poverty,health2_compete2_score
15,16024,5,white_non_poverty,health2_compete2_score
16,2551,6,black_poverty,health2_compete2_score
17,5247,6,black_non_poverty,health2_compete2_score
18,4632,6,white_poverty,health2_compete2_score
19,14351,6,white_non_poverty,health2_compete2_score
20,1643,7,black_poverty,health2_compete2_score
21,2942,7,black_non_poverty,health2_compete2_score
22,2593,7,white_poverty,health2_compete2_score
23,10713,7,white_non_poverty,health2_compete2_score
24,879,8,black_poverty,health2_compete2_score
25,1875,8,black_non_poverty,health2_compete2_score
26,3394,8,white_poverty,health2_compete2_score
27,12859,8,white_non_poverty,health2_compete2_score
28,2554,9,black_poverty,health2_compete2_score
29,4836,9,black_non_poverty,health2_compete2_score
30,5424,9,white_poverty,health2_compete2_score
31,32272,9,white_non_poverty,health2_compete2_score
32,838,10,black_poverty,health2_compete2_score
33,2488,10,black_non_poverty,health2_compete2_score
34,3184,10,white_poverty,health2_compete2_score
35,33674,10,white_non_poverty,health2_compete2_score
0,446,2,black_poverty,health2_compete1.5_score
1,3292,2,black_non_poverty,health2_compete1.5_score
2,725,2,white_poverty,health2_compete1.5_score
3,5191,2,white_non_poverty,health2_compete1.5_score
4,2496,3,black_poverty,health2_compete1.5_score
5,8097,3,black_non_poverty,health2_compete1.5_score
6,1105,3,white_poverty,health2_compete1.5_score
7,7370,3,white_non_poverty,health2_compete1.5_score
8,1533,4,black_poverty,health2_compete1.5_score
9,4653,4,black_non_poverty,health2_compete1.5_score
10,2284,4,white_poverty,health2_compete1.5_score
11,8729,4,white_non_poverty,health2_compete1.5_score
12,3582,5,black_poverty,health2_compete1.5_score
13,9446,5,black_non_poverty,health2_compete1.5_score
14,3975,5,white_poverty,health2_compete1.5_score
15,14539,5,white_non_poverty,health2_compete1.5_score
16,2551,6,black_poverty,health2_compete1.5_score
17,5247,6,black_non_poverty,health2_compete1.5_score
18,4632,6,white_poverty,health2_compete1.5_score
19,14351,6,white_non_poverty,health2_compete1.5_score
20,1643,7,black_poverty,health2_compete1.5_score
21,2942,7,black_non_poverty,health2_compete1.5_score
22,2593,7,white_poverty,health2_compete1.5_score
23,10713,7,white_non_poverty,health2_compete1.5_score
24,879,8,black_poverty,health2_compete1.5_score
25,1875,8,black_non_poverty,health2_compete1.5_score
26,3394,8,white_poverty,health2_compete1.5_score
27,12859,8,white_non_poverty,health2_compete1.5_score
28,2518,9,black_poverty,health2_compete1.5_score
29,4011,9,black_non_poverty,health2_compete1.5_score
30,4820,9,white_poverty,health2_compete1.5_score
31,29387,9,white_non_poverty,health2_compete1.5_score
32,874,10,black_poverty,health2_compete1.5_score
33,3313,10,black_non_poverty,health2_compete1.5_score
34,3788,10,white_poverty,health2_compete1.5_score
35,36559,10,white_non_poverty,health2_compete1.5_score
0,54,3,black_poverty,food_acc_score
1,262,3,black_non_poverty,food_acc_score
2,135,3,white_poverty,food_acc_score
3,1042,3,white_non_poverty,food_acc_score
4,1301,4,black_poverty,food_acc_score
5,5849,4,black_non_poverty,food_acc_score
6,1074,4,white_poverty,food_acc_score
7,7352,4,white_non_poverty,food_acc_score
8,1498,5,black_poverty,food_acc_score
9,4699,5,black_non_poverty,food_acc_score
10,608,5,white_poverty,food_acc_score
11,3861,5,white_non_poverty,food_acc_score
