index,num,accessibility,race,label
0,78,3,black_poverty,health_acc_score
1,198,3,black_non_poverty,health_acc_score
2,923,3,white_poverty,health_acc_score
3,1390,3,white_non_poverty,health_acc_score
4,807,5,black_poverty,health_acc_score
5,284,5,black_non_poverty,health_acc_score
6,1430,5,white_poverty,health_acc_score
7,8675,5,white_non_poverty,health_acc_score
8,1466,6,black_poverty,health_acc_score
9,1432,6,black_non_poverty,health_acc_score
10,4855,6,white_poverty,health_acc_score
11,21216,6,white_non_poverty,health_acc_score
12,466,7,black_poverty,health_acc_score
13,2134,7,black_non_poverty,health_acc_score
14,6618,7,white_poverty,health_acc_score
15,53438,7,white_non_poverty,health_acc_score
16,3186,8,black_poverty,health_acc_score
17,6161,8,black_non_poverty,health_acc_score
18,14721,8,white_poverty,health_acc_score
19,95800,8,white_non_poverty,health_acc_score
20,2269,9,black_poverty,health_acc_score
21,6805,9,black_non_poverty,health_acc_score
22,13138,9,white_poverty,health_acc_score
23,139383,9,white_non_poverty,health_acc_score
24,2207,10,black_poverty,health_acc_score
25,6285,10,black_non_poverty,health_acc_score
26,12934,10,white_poverty,health_acc_score
27,149389,10,white_non_poverty,health_acc_score
0,78,3,black_poverty,health2_acc_score
1,198,3,black_non_poverty,health2_acc_score
2,923,3,white_poverty,health2_acc_score
3,1390,3,white_non_poverty,health2_acc_score
4,895,5,black_poverty,health2_acc_score
5,481,5,black_non_poverty,health2_acc_score
6,2669,5,white_poverty,health2_acc_score
7,11615,5,white_non_poverty,health2_acc_score
8,1460,6,black_poverty,health2_acc_score
9,2056,6,black_non_poverty,health2_acc_score
10,5578,6,white_poverty,health2_acc_score
11,30393,6,white_non_poverty,health2_acc_score
12,2433,7,black_poverty,health2_acc_score
13,3260,7,black_non_poverty,health2_acc_score
14,10247,7,white_poverty,health2_acc_score
15,63804,7,white_non_poverty,health2_acc_score
16,1737,8,black_poverty,health2_acc_score
17,7375,8,black_non_poverty,health2_acc_score
18,11151,8,white_poverty,health2_acc_score
19,88295,8,white_non_poverty,health2_acc_score
20,1585,9,black_poverty,health2_acc_score
21,5251,9,black_non_poverty,health2_acc_score
22,12232,9,white_poverty,health2_acc_score
23,134497,9,white_non_poverty,health2_acc_score
24,2291,10,black_poverty,health2_acc_score
25,4678,10,black_non_poverty,health2_acc_score
26,11819,10,white_poverty,health2_acc_score
27,139297,10,white_non_poverty,health2_acc_score
0,78,2,black_poverty,health2_Monday_score
1,198,2,black_non_poverty,health2_Monday_score
2,923,2,white_poverty,health2_Monday_score
3,1390,2,white_non_poverty,health2_Monday_score
4,88,4,black_poverty,health2_Monday_score
5,197,4,black_non_poverty,health2_Monday_score
6,1239,4,white_poverty,health2_Monday_score
7,2940,4,white_non_poverty,health2_Monday_score
8,2254,5,black_poverty,health2_Monday_score
9,1655,5,black_non_poverty,health2_Monday_score
10,5131,5,white_poverty,health2_Monday_score
11,21511,5,white_non_poverty,health2_Monday_score
12,1067,6,black_poverty,health2_Monday_score
13,2083,6,black_non_poverty,health2_Monday_score
14,5884,6,white_poverty,health2_Monday_score
