index,num,accessibility,race,label
0,234,1,black_non_poverty,health_acc_score
1,434,1,white_poverty,health_acc_score
2,2922,1,white_non_poverty,health_acc_score
3,35,2,black_non_poverty,health_acc_score
4,61,2,white_poverty,health_acc_score
5,800,2,white_non_poverty,health_acc_score
6,2223,5,black_poverty,health_acc_score
7,6961,5,black_non_poverty,health_acc_score
8,2451,5,white_poverty,health_acc_score
9,14035,5,white_non_poverty,health_acc_score
10,5244,6,black_poverty,health_acc_score
11,16644,6,black_non_poverty,health_acc_score
12,4428,6,white_poverty,health_acc_score
13,30230,6,white_non_poverty,health_acc_score
14,5837,7,black_poverty,health_acc_score
15,13460,7,black_non_poverty,health_acc_score
16,3448,7,white_poverty,health_acc_score
17,17368,7,white_non_poverty,health_acc_score
18,1237,8,black_poverty,health_acc_score
19,4472,8,black_non_poverty,health_acc_score
20,1179,8,white_poverty,health_acc_score
21,8453,8,white_non_poverty,health_acc_score
22,493,9,black_poverty,health_acc_score
23,1673,9,black_non_poverty,health_acc_score
24,963,9,white_poverty,health_acc_score
25,5409,9,white_non_poverty,health_acc_score
26,669,10,black_poverty,health_acc_score
27,2415,10,black_non_poverty,health_acc_score
28,1794,10,white_poverty,health_acc_score
29,10012,10,white_non_poverty,health_acc_score
0,269,2,black_non_poverty,health2_acc_score
1,495,2,white_poverty,health2_acc_score
2,3722,2,white_non_poverty,health2_acc_score
3,111,4,black_poverty,health2_acc_score
4,669,4,black_non_poverty,health2_acc_score
5,62,4,white_poverty,health2_acc_score
6,1773,4,white_non_poverty,health2_acc_score
7,2327,5,black_poverty,health2_acc_score
8,7388,5,black_non_poverty,health2_acc_score
9,2517,5,white_poverty,health2_acc_score
10,14045,5,white_non_poverty,health2_acc_score
11,3926,6,black_poverty,health2_acc_score
12,9826,6,black_non_poverty,health2_acc_score
13,2212,6,white_poverty,health2_acc_score
14,15481,6,white_non_poverty,health2_acc_score
15,4349,7,black_poverty,health2_acc_score
16,14708,7,black_non_poverty,health2_acc_score
17,3301,7,white_poverty,health2_acc_score
18,22431,7,white_non_poverty,health2_acc_score
19,3239,8,black_poverty,health2_acc_score
20,7197,8,black_non_poverty,health2_acc_score
21,2477,8,white_poverty,health2_acc_score
22,11285,8,white_non_poverty,health2_acc_score
23,781,9,black_poverty,health2_acc_score
24,2672,9,black_non_poverty,health2_acc_score
25,1306,9,white_poverty,health2_acc_score
