index,num,accessibility,race,label
0,2812,3,black_poverty,health_acc_score
1,2710,3,black_non_poverty,health_acc_score
2,1558,3,white_poverty,health_acc_score
3,8152,3,white_non_poverty,health_acc_score
4,8387,4,black_poverty,health_acc_score
5,12233,4,black_non_poverty,health_acc_score
6,3560,4,white_poverty,health_acc_score
7,9226,4,white_non_poverty,health_acc_score
8,9559,5,black_poverty,health_acc_score
9,13556,5,black_non_poverty,health_acc_score
10,692,5,white_poverty,health_acc_score
11,4797,5,white_non_poverty,health_acc_score
12,5705,6,black_poverty,health_acc_score
13,10533,6,black_non_poverty,health_acc_score
14,23,6,white_poverty,health_acc_score
15,251,6,white_non_poverty,health_acc_score
16,20460,7,black_poverty,health_acc_score
17,34107,7,black_non_poverty,health_acc_score
18,4458,7,white_poverty,health_acc_score
19,24200,7,white_non_poverty,health_acc_score
20,14143,8,black_poverty,health_acc_score
21,27244,8,black_non_poverty,health_acc_score
22,4497,8,white_poverty,health_acc_score
23,28425,8,white_non_poverty,health_acc_score
24,11084,9,black_poverty,health_acc_score
25,27694,9,black_non_poverty,health_acc_score
26,5977,9,white_poverty,health_acc_score
27,47542,9,white_non_poverty,health_acc_score
28,2114,10,black_poverty,health_acc_score
29,7472,10,black_non_poverty,health_acc_score
30,4735,10,white_poverty,health_acc_score
31,50975,10,white_non_poverty,health_acc_score
0,2812,3,black_poverty,health2_acc_score
1,2710,3,black_non_poverty,health2_acc_score
2,1558,3,white_poverty,health2_acc_score
3,8152,3,white_non_poverty,health2_acc_score
4,13170,4,black_poverty,health2_acc_score
5,17842,4,black_non_poverty,health2_acc_score
6,3820,4,white_poverty,health2_acc_score
7,10992,4,white_non_poverty,health2_acc_score
8,5894,5,black_poverty,health2_acc_score
9,9882,5,black_non_poverty,health2_acc_score
10,433,5,white_poverty,health2_acc_score
11,3103,5,white_non_poverty,health2_acc_score
12,6253,6,black_poverty,health2_acc_score
13,11516,6,black_non_poverty,health2_acc_score
14,22,6,white_poverty,health2_acc_score
15,257,6,white_non_poverty,health2_acc_score
16,23318,7,black_poverty,health2_acc_score
17,38758,7,black_non_poverty,health2_acc_score
18,4556,7,white_poverty,health2_acc_score
19,24368,7,white_non_poverty,health2_acc_score
20,14198,8,black_poverty,health2_acc_score
21,28046,8,black_non_poverty,health2_acc_score
22,4915,8,white_poverty,health2_acc_score
23,34364,8,white_non_poverty,health2_acc_score
24,6924,9,black_poverty,health2_acc_score
25,19986,9,black_non_poverty,health2_acc_score
26,5656,9,white_poverty,health2_acc_score
27,42460,9,white_non_poverty,health2_acc_score
28,1695,10,black_poverty,health2_acc_score
29,6809,10,black_non_poverty,health2_acc_score
30,4540,10,white_poverty,health2_acc_score
31,49872,10,white_non_poverty,health2_acc_score
0,7701,3,black_poverty,health2_Monday_score
1,8814,3,black_non_poverty,health2_Monday_score
2,3156,3,white_poverty,health2_Monday_score
3,12028,3,white_non_poverty,health2_Monday_score
4,10684,4,black_poverty,health2_Monday_score
5,14093,4,black_non_poverty,health2_Monday_score
6,2207,4,white_poverty,health2_Monday_score
7,8363,4,white_non_poverty,health2_Monday_score
8,3491,5,black_poverty,health2_Monday_score
9,7527,5,black_non_poverty,health2_Monday_score
10,448,5,white_poverty,health2_Monday_score
11,1856,5,white_non_poverty,health2_Monday_score
