index,num,accessibility,race,label
0,260,3,black_poverty,health_acc_score
1,380,3,black_non_poverty,health_acc_score
2,952,3,white_poverty,health_acc_score
3,3356,3,white_non_poverty,health_acc_score
4,2742,4,black_poverty,health_acc_score
5,5665,4,black_non_poverty,health_acc_score
6,1952,4,white_poverty,health_acc_score
7,7311,4,white_non_poverty,health_acc_score
8,3001,5,black_poverty,health_acc_score
9,4319,5,black_non_poverty,health_acc_score
10,1683,5,white_poverty,health_acc_score
11,4656,5,white_non_poverty,health_acc_score
12,3045,6,black_poverty,health_acc_score
13,5733,6,black_non_poverty,health_acc_score
14,1410,6,white_poverty,health_acc_score
15,6633,6,white_non_poverty,health_acc_score
16,1125,7,black_poverty,health_acc_score
17,3423,7,black_non_poverty,health_acc_score
18,1969,7,white_poverty,health_acc_score
19,11737,7,white_non_poverty,health_acc_score
20,532,8,black_poverty,health_acc_score
21,1869,8,black_non_poverty,health_acc_score
22,1977,8,white_poverty,health_acc_score
23,11516,8,white_non_poverty,health_acc_score
24,638,9,black_poverty,health_acc_score
25,1912,9,black_non_poverty,health_acc_score
26,3285,9,white_poverty,health_acc_score
27,25912,9,white_non_poverty,health_acc_score
28,392,10,black_poverty,health_acc_score
29,1285,10,black_non_poverty,health_acc_score
30,1483,10,white_poverty,health_acc_score
31,10136,10,white_non_poverty,health_acc_score
0,638,3,black_poverty,health2_acc_score
1,1416,3,black_non_poverty,health2_acc_score
2,1206,3,white_poverty,health2_acc_score
3,5095,3,white_non_poverty,health2_acc_score
4,3386,4,black_poverty,health2_acc_score
5,5890,4,black_non_poverty,health2_acc_score
6,1851,4,white_poverty,health2_acc_score
7,5957,4,white_non_poverty,health2_acc_score
8,2442,5,black_poverty,health2_acc_score
9,3574,5,black_non_poverty,health2_acc_score
10,1691,5,white_poverty,health2_acc_score
11,4903,5,white_non_poverty,health2_acc_score
12,3237,6,black_poverty,health2_acc_score
13,6341,6,black_non_poverty,health2_acc_score
14,1523,6,white_poverty,health2_acc_score
15,7263,6,white_non_poverty,health2_acc_score
16,518,7,black_poverty,health2_acc_score
17,2341,7,black_non_poverty,health2_acc_score
18,1760,7,white_poverty,health2_acc_score
19,10869,7,white_non_poverty,health2_acc_score
20,495,8,black_poverty,health2_acc_score
21,1880,8,black_non_poverty,health2_acc_score
22,2120,8,white_poverty,health2_acc_score
23,12978,8,white_non_poverty,health2_acc_score
24,650,9,black_poverty,health2_acc_score
25,1886,9,black_non_poverty,health2_acc_score
26,3131,9,white_poverty,health2_acc_score
27,24283,9,white_non_poverty,health2_acc_score
28,369,10,black_poverty,health2_acc_score
29,1258,10,black_non_poverty,health2_acc_score
30,1429,10,white_poverty,health2_acc_score
31,9909,10,white_non_poverty,health2_acc_score
0,26,2,black_poverty,health2_Monday_score
1,22,2,black_non_poverty,health2_Monday_score
2,376,2,white_poverty,health2_Monday_score
3,1259,2,white_non_poverty,health2_Monday_score
4,1492,3,black_poverty,health2_Monday_score
5,2670,3,black_non_poverty,health2_Monday_score
6,1960,3,white_poverty,health2_Monday_score
7,7188,3,white_non_poverty,health2_Monday_score
8,2531,4,black_poverty,health2_Monday_score
9,5387,4,black_non_poverty,health2_Monday_score
10,1530,4,white_poverty,health2_Monday_score
11,5363,4,white_non_poverty,health2_Monday_score
12,3427,5,black_poverty,health2_Monday_score
13,4253,5,black_non_poverty,health2_Monday_score
14,1483,5,white_poverty,health2_Monday_score
15,3353,5,white_non_poverty,health2_Monday_score
16,2540,6,black_poverty,health2_Monday_score
17,6193,6,black_non_poverty,health2_Monday_score
18,2040,6,white_poverty,health2_Monday_score
19,8083,6,white_non_poverty,health2_Monday_score
20,442,7,black_poverty,health2_Monday_score
21,1940,7,black_non_poverty,health2_Monday_score
22,1440,7,white_poverty,health2_Monday_score
23,12829,7,white_non_poverty,health2_Monday_score
24,526,8,black_poverty,health2_Monday_score
25,1286,8,black_non_poverty,health2_Monday_score
26,1900,8,white_poverty,health2_Monday_score
27,12753,8,white_non_poverty,health2_Monday_score
28,453,9,black_poverty,health2_Monday_score
29,2062,9,black_non_poverty,health2_Monday_score
30,3216,9,white_poverty,health2_Monday_score
31,25476,9,white_non_poverty,health2_Monday_score
32,298,10,black_poverty,health2_Monday_score
33,773,10,black_non_poverty,health2_Monday_score
34,766,10,white_poverty,health2_Monday_score
35,4953,10,white_non_poverty,health2_Monday_score
0,260,2,black_poverty,health2_compete2_score
1,547,2,black_non_poverty,health2_compete2_score
2,993,2,white_poverty,health2_compete2_score
3,3548,2,white_non_poverty,health2_compete2_score
4,1696,3,black_poverty,health2_compete2_score
5,2805,3,black_non_poverty,health2_compete2_score
6,1995,3,white_poverty,health2_compete2_score
7,6931,3,white_non_poverty,health2_compete2_score
8,3095,4,black_poverty,health2_compete2_score
9,6233,4,black_non_poverty,health2_compete2_score
10,1997,4,white_poverty,health2_compete2_score
11,5673,4,white_non_poverty,health2_compete2_score
12,3905,5,black_poverty,health2_compete2_score
13,6946,5,black_non_poverty,health2_compete2_score
14,1724,5,white_poverty,health2_compete2_score
15,5247,5,white_non_poverty,health2_compete2_score
16,1352,6,black_poverty,health2_compete2_score
17,2579,6,black_non_poverty,health2_compete2_score
18,1806,6,white_poverty,health2_compete2_score
19,8528,6,white_non_poverty,health2_compete2_score
20,744,7,black_poverty,health2_compete2_score
21,2824,7,black_non_poverty,health2_compete2_score
22,2403,7,white_poverty,health2_compete2_score
23,21407,7,white_non_poverty,health2_compete2_score
24,297,8,black_poverty,health2_compete2_score
25,1479,8,black_non_poverty,health2_compete2_score
26,1746,8,white_poverty,health2_compete2_score
27,13404,8,white_non_poverty,health2_compete2_score
28,363,9,black_poverty,health2_compete2_score
29,1140,9,black_non_poverty,health2_compete2_score
30,1806,9,white_poverty,health2_compete2_score
31,14416,9,white_non_poverty,health2_compete2_score
32,23,10,black_poverty,health2_compete2_score
33,33,10,black_non_poverty,health2_compete2_score
34,241,10,white_poverty,health2_compete2_score
35,2103,10,white_non_poverty,health2_compete2_score
0,311,2,black_poverty,health2_compete1.5_score
1,766,2,black_non_poverty,health2_compete1.5_score
2,1226,2,white_poverty,health2_compete1.5_score
3,4245,2,white_non_poverty,health2_compete1.5_score
4,1645,3,black_poverty,health2_compete1.5_score
5,2658,3,black_non_poverty,health2_compete1.5_score
6,1870,3,white_poverty,health2_compete1.5_score
7,7162,3,white_non_poverty,health2_compete1.5_score
8,4880,4,black_poverty,health2_compete1.5_score
9,7892,4,black_non_poverty,health2_compete1.5_score
10,1983,4,white_poverty,health2_compete1.5_score
11,4942,4,white_non_poverty,health2_compete1.5_score
12,2120,5,black_poverty,health2_compete1.5_score
13,5215,5,black_non_poverty,health2_compete1.5_score
14,1951,5,white_poverty,health2_compete1.5_score
15,5101,5,white_non_poverty,health2_compete1.5_score
16,1352,6,black_poverty,health2_compete1.5_score
17,2574,6,black_non_poverty,health2_compete1.5_score
18,1483,6,white_poverty,health2_compete1.5_score
19,8378,6,white_non_poverty,health2_compete1.5_score
20,744,7,black_poverty,health2_compete1.5_score
21,2829,7,black_non_poverty,health2_compete1.5_score
22,2405,7,white_poverty,health2_compete1.5_score
23,21506,7,white_non_poverty,health2_compete1.5_score
24,281,8,black_poverty,health2_compete1.5_score
25,1214,8,black_non_poverty,health2_compete1.5_score
26,1582,8,white_poverty,health2_compete1.5_score
27,12287,8,white_non_poverty,health2_compete1.5_score
28,379,9,black_poverty,health2_compete1.5_score
29,1405,9,black_non_poverty,health2_compete1.5_score
30,1970,9,white_poverty,health2_compete1.5_score
31,15533,9,white_non_poverty,health2_compete1.5_score
32,23,10,black_poverty,health2_compete1.5_score
33,33,10,black_non_poverty,health2_compete1.5_score
34,241,10,white_poverty,health2_compete1.5_score
35,2103,10,white_non_poverty,health2_compete1.5_score
0,106,3,black_poverty,food_acc_score
1,5,3,black_non_poverty,food_acc_score
2,117,3,white_poverty,food_acc_score
3,477,3,white_non_poverty,food_acc_score
4,552,4,black_poverty,food_acc_score
5,1611,4,black_non_poverty,food_acc_score
6,1228,4,white_poverty,food_acc_score
7,4865,4,white_non_poverty,food_acc_score
8,3358,5,black_poverty,food_acc_score
9,5963,5,black_non_poverty,food_acc_score
10,1833,5,white_poverty,food_acc_score
11,6202,5,white_non_poverty,food_acc_score
12,2403,6,black_poverty,food_acc_score
13,3768,6,black_non_poverty,food_acc_score
14,1244,6,white_poverty,food_acc_score
15,5127,6,white_non_poverty,food_acc_score
16,2411,7,black_poverty,food_acc_score
17,4597,7,black_non_poverty,food_acc_score
18,1337,7,white_poverty,food_acc_score
19,4037,7,white_non_poverty,food_acc_score
20,1347,8,black_poverty,food_acc_score
21,3578,8,black_non_poverty,food_acc_score
22,2162,8,white_poverty,food_acc_score
23,15703,8,white_non_poverty,food_acc_score
24,949,9,black_poverty,food_acc_score
25,2561,9,black_non_poverty,food_acc_score
26,3355,9,white_poverty,food_acc_score
27,11103,9,white_non_poverty,food_acc_score
28,609,10,black_poverty,food_acc_score
29,2503,10,black_non_poverty,food_acc_score
30,3435,10,white_poverty,food_acc_score
31,33743,10,white_non_poverty,food_acc_score
0,132,3,black_poverty,food2_acc_score
1,27,3,black_non_poverty,food2_acc_score
2,474,3,white_poverty,food2_acc_score
3,1542,3,white_non_poverty,food2_acc_score
4,1364,4,black_poverty,food2_acc_score
5,2650,4,black_non_poverty,food2_acc_score
6,1782,4,white_poverty,food2_acc_score
7,6774,4,white_non_poverty,food2_acc_score
8,2802,5,black_poverty,food2_acc_score
9,6338,5,black_non_poverty,food2_acc_score
10,1327,5,white_poverty,food2_acc_score
11,5065,5,white_non_poverty,food2_acc_score
12,2743,6,black_poverty,food2_acc_score
13,2967,6,black_non_poverty,food2_acc_score
14,1616,6,white_poverty,food2_acc_score
15,5317,6,white_non_poverty,food2_acc_score
16,2688,7,black_poverty,food2_acc_score
17,4985,7,black_non_poverty,food2_acc_score
18,1435,7,white_poverty,food2_acc_score
19,4708,7,white_non_poverty,food2_acc_score
20,575,8,black_poverty,food2_acc_score
21,3014,8,black_non_poverty,food2_acc_score
22,1975,8,white_poverty,food2_acc_score
23,14020,8,white_non_poverty,food2_acc_score
24,935,9,black_poverty,food2_acc_score
25,2167,9,black_non_poverty,food2_acc_score
26,2554,9,white_poverty,food2_acc_score
27,12135,9,white_non_poverty,food2_acc_score
28,496,10,black_poverty,food2_acc_score
29,2438,10,black_non_poverty,food2_acc_score
30,3548,10,white_poverty,food2_acc_score
31,31696,10,white_non_poverty,food2_acc_score
0,19,2,white_poverty,food2_Monday_score
1,194,2,white_non_poverty,food2_Monday_score
2,537,3,black_poverty,food2_Monday_score
3,630,3,black_non_poverty,food2_Monday_score
4,1197,3,white_poverty,food2_Monday_score
5,4070,3,white_non_poverty,food2_Monday_score
6,1243,4,black_poverty,food2_Monday_score
7,2534,4,black_non_poverty,food2_Monday_score
8,1614,4,white_poverty,food2_Monday_score
9,5243,4,white_non_poverty,food2_Monday_score
10,3251,5,black_poverty,food2_Monday_score
11,6293,5,black_non_poverty,food2_Monday_score
12,1491,5,white_poverty,food2_Monday_score
13,5670,5,white_non_poverty,food2_Monday_score
14,2561,6,black_poverty,food2_Monday_score
15,3413,6,black_non_poverty,food2_Monday_score
16,1610,6,white_poverty,food2_Monday_score
17,3129,6,white_non_poverty,food2_Monday_score
18,2547,7,black_poverty,food2_Monday_score
19,5651,7,black_non_poverty,food2_Monday_score
20,1290,7,white_poverty,food2_Monday_score
21,12487,7,white_non_poverty,food2_Monday_score
22,440,8,black_poverty,food2_Monday_score
23,2462,8,black_non_poverty,food2_Monday_score
24,2709,8,white_poverty,food2_Monday_score
25,14284,8,white_non_poverty,food2_Monday_score
26,725,9,black_poverty,food2_Monday_score
27,1921,9,black_non_poverty,food2_Monday_score
28,2348,9,white_poverty,food2_Monday_score
29,13772,9,white_non_poverty,food2_Monday_score
30,431,10,black_poverty,food2_Monday_score
31,1682,10,black_non_poverty,food2_Monday_score
32,2433,10,white_poverty,food2_Monday_score
