index,num,accessibility,race,label
0,635,1,black_poverty,health_acc_score
1,894,1,black_non_poverty,health_acc_score
2,1292,1,white_poverty,health_acc_score
3,3823,1,white_non_poverty,health_acc_score
4,811,2,black_poverty,health_acc_score
5,505,2,black_non_poverty,health_acc_score
6,1279,2,white_poverty,health_acc_score
7,9646,2,white_non_poverty,health_acc_score
8,241,3,black_poverty,health_acc_score
9,651,3,black_non_poverty,health_acc_score
10,882,3,white_poverty,health_acc_score
11,5961,3,white_non_poverty,health_acc_score
12,601,4,black_poverty,health_acc_score
13,726,4,black_non_poverty,health_acc_score
14,775,4,white_poverty,health_acc_score
15,2637,4,white_non_poverty,health_acc_score
16,930,5,black_poverty,health_acc_score
17,1092,5,black_non_poverty,health_acc_score
18,798,5,white_poverty,health_acc_score
19,7687,5,white_non_poverty,health_acc_score
20,2470,6,black_poverty,health_acc_score
21,3500,6,black_non_poverty,health_acc_score
22,2260,6,white_poverty,health_acc_score
23,16796,6,white_non_poverty,health_acc_score
24,1736,7,black_poverty,health_acc_score
25,3764,7,black_non_poverty,health_acc_score
26,3061,7,white_poverty,health_acc_score
27,28447,7,white_non_poverty,health_acc_score
28,2558,8,black_poverty,health_acc_score
29,6632,8,black_non_poverty,health_acc_score
30,4863,8,white_poverty,health_acc_score
31,54984,8,white_non_poverty,health_acc_score
32,2372,9,black_poverty,health_acc_score
33,8813,9,black_non_poverty,health_acc_score
34,6278,9,white_poverty,health_acc_score
35,92076,9,white_non_poverty,health_acc_score
36,2276,10,black_poverty,health_acc_score
37,8981,10,black_non_poverty,health_acc_score
38,6759,10,white_poverty,health_acc_score
39,129871,10,white_non_poverty,health_acc_score
0,903,1,black_poverty,health2_acc_score
1,1119,1,black_non_poverty,health2_acc_score
2,1620,1,white_poverty,health2_acc_score
3,4739,1,white_non_poverty,health2_acc_score
4,784,2,black_poverty,health2_acc_score
5,871,2,black_non_poverty,health2_acc_score
6,1629,2,white_poverty,health2_acc_score
7,13647,2,white_non_poverty,health2_acc_score
8,601,3,black_poverty,health2_acc_score
9,786,3,black_non_poverty,health2_acc_score
10,979,3,white_poverty,health2_acc_score
11,3681,3,white_non_poverty,health2_acc_score
12,930,4,black_poverty,health2_acc_score
13,1092,4,black_non_poverty,health2_acc_score
14,798,4,white_poverty,health2_acc_score
15,7687,4,white_non_poverty,health2_acc_score
16,2301,5,black_poverty,health2_acc_score
17,2980,5,black_non_poverty,health2_acc_score
18,1681,5,white_poverty,health2_acc_score
19,13769,5,white_non_poverty,health2_acc_score
20,1459,6,black_poverty,health2_acc_score
21,3214,6,black_non_poverty,health2_acc_score
22,3284,6,white_poverty,health2_acc_score
23,29379,6,white_non_poverty,health2_acc_score
24,1172,7,black_poverty,health2_acc_score
