index,num,accessibility,race,label
0,145,5,black_poverty,health_acc_score
1,117,5,black_non_poverty,health_acc_score
2,365,5,white_poverty,health_acc_score
3,944,5,white_non_poverty,health_acc_score
4,1292,6,black_poverty,health_acc_score
5,2078,6,black_non_poverty,health_acc_score
6,969,6,white_poverty,health_acc_score
7,21599,6,white_non_poverty,health_acc_score
8,2918,7,black_poverty,health_acc_score
9,3167,7,black_non_poverty,health_acc_score
10,3832,7,white_poverty,health_acc_score
11,35287,7,white_non_poverty,health_acc_score
12,2970,8,black_poverty,health_acc_score
13,8638,8,black_non_poverty,health_acc_score
14,4027,8,white_poverty,health_acc_score
15,62103,8,white_non_poverty,health_acc_score
16,4093,9,black_poverty,health_acc_score
17,9463,9,black_non_poverty,health_acc_score
18,8870,9,white_poverty,health_acc_score
19,90207,9,white_non_poverty,health_acc_score
20,2489,10,black_poverty,health_acc_score
21,7452,10,black_non_poverty,health_acc_score
22,12487,10,white_poverty,health_acc_score
23,183057,10,white_non_poverty,health_acc_score
0,155,5,black_poverty,health2_acc_score
1,230,5,black_non_poverty,health2_acc_score
2,443,5,white_poverty,health2_acc_score
3,1380,5,white_non_poverty,health2_acc_score
4,1940,6,black_poverty,health2_acc_score
5,2729,6,black_non_poverty,health2_acc_score
6,1395,6,white_poverty,health2_acc_score
7,33686,6,white_non_poverty,health2_acc_score
8,3271,7,black_poverty,health2_acc_score
9,6133,7,black_non_poverty,health2_acc_score
10,4157,7,white_poverty,health2_acc_score
11,38366,7,white_non_poverty,health2_acc_score
12,2714,8,black_poverty,health2_acc_score
13,7677,8,black_non_poverty,health2_acc_score
14,5570,8,white_poverty,health2_acc_score
15,74154,8,white_non_poverty,health2_acc_score
16,3936,9,black_poverty,health2_acc_score
17,8391,9,black_non_poverty,health2_acc_score
18,8116,9,white_poverty,health2_acc_score
19,77179,9,white_non_poverty,health2_acc_score
20,1891,10,black_poverty,health2_acc_score
21,5755,10,black_non_poverty,health2_acc_score
22,10869,10,white_poverty,health2_acc_score
23,168432,10,white_non_poverty,health2_acc_score
0,145,3,black_poverty,health2_Monday_score
1,117,3,black_non_poverty,health2_Monday_score
2,365,3,white_poverty,health2_Monday_score
3,944,3,white_non_poverty,health2_Monday_score
4,10,4,black_poverty,health2_Monday_score
5,267,4,black_non_poverty,health2_Monday_score
6,104,4,white_poverty,health2_Monday_score
7,2718,4,white_non_poverty,health2_Monday_score
8,1390,5,black_poverty,health2_Monday_score
9,2027,5,black_non_poverty,health2_Monday_score
10,2131,5,white_poverty,health2_Monday_score
11,25963,5,white_non_poverty,health2_Monday_score
12,2666,6,black_poverty,health2_Monday_score
13,2338,6,black_non_poverty,health2_Monday_score
14,2267,6,white_poverty,health2_Monday_score
